Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie
Alma ,élection OR campagne,23,Le Quotidien - Groupe Capitales Médias,Une première candidature officialisée pour la mairie d'Alma,2021-05-26,38,https://www.lequotidien.com/actualites/une-premiere-candidature-officialisee-pour-la-mairie-dalma-1c4b3c4ffd1adf47505e1c242f1ae80e,2021-07-03 09:17:30
Alma ,élection OR campagne,24,Droit-Inc.com,Coup d'œil dans les bureaux…,2021-06-18,15,https://www.droit-inc.com/article28905-Coup-d-il-dans-les-bureaux,2021-07-03 09:17:30
Alma ,élection OR campagne,25,ICI.Radio-Canada.ca,Vaccin contre la COVID-19 : près de 4500 rendez-vous pris en quelques heures | Coronavirus,2021-03-02,123,https://ici.radio-canada.ca/nouvelle/1774546/campagne-vaccination-coronavirus-ciusss,2021-07-03 09:17:30
Alma ,député,1,ICI.Radio-Canada.ca,Difficile de dénicher un logement dans la région,2021-07-01,2,https://ici.radio-canada.ca/nouvelle/1805963/crise-demenagements-saguenay-alma-loyer,2021-07-03 09:18:07
Alma ,député,2,journal le soir,«Dommage que l'UQAR n'ait pas eu de tels lobbyistes»,2021-06-10,23,https://journallesoir.ca/2021/06/10/dommage-que-luqar-nait-pas-eu-de-tels-lobbyistes/,2021-07-03 09:18:07
Alma ,député,3,Guy Bouchard,L'UQAC et le Collège d'Alma partenaires dans le virage numérique des PME,2021-06-17,16,https://informeaffaires.com/regional/technologie/luqac-et-le-college-dalma-partenaires-dans-le-virage-numerique-des-pme,2021-07-03 09:18:07
Alma ,député,4,Journal Le Lac St-Jean,Des bâtons dans les roues pour les travailleurs immigrants,2021-06-07,26,https://lelacstjean.com/actualite/des-batons-dans-les-roues-pour-les-travailleurs-immigrants/,2021-07-03 09:18:08
Alma ,député,5,Paris-Normandie,"Hervé Morin, ancien lieutenant de Bayrou et ex-ministre de la Défense, reste à la tête de la région Normandie",2021-06-27,6,https://www.paris-normandie.fr/id207173/article/2021-06-27/herve-morin-ancien-lieutenant-de-bayrou-et-ex-ministre-de-la-defense-reste-la,2021-07-03 09:18:08
Alma ,député,6,Journal Le Lac St-Jean,"« Alma, une ville extraordinaire! »",2021-03-12,113,https://lelacstjean.com/actualite/alma-une-ville-extraordinaire/,2021-07-03 09:18:08
Alma ,député,7,Le Quotidien - Groupe Capitales Médias,Le député libéral William Amos encore dans l'embarras après avoir été vu uriner,2021-05-28,36,https://www.lequotidien.com/actualites/le-depute-liberal-william-amos-encore-dans-lembarras-apres-avoir-ete-vu-uriner-c5df02dc02073f378963658c0ac8649e,2021-07-03 09:18:08
Alma ,député,8,Le Quotidien - Groupe Capitales Médias,Olivier Larouche ne sera pas candidat en 2021 à Alma,2021-03-16,109,https://www.lequotidien.com/actualites/olivier-larouche-ne-sera-pas-candidat-en-2021-a-alma-10e8edf638259ddd58c5fddf6ba92f08,2021-07-03 09:18:08
Alma ,député,9,Le Quotidien - Groupe Capitales Médias,Sylvain Gaudreault poursuit sa tournée et s'arrête à Alma,2020-08-18,319,https://www.lequotidien.com/actualites/sylvain-gaudreault-poursuit-sa-tournee-et-sarrete-a-alma-f6eba794ef35a0c32c1a5f4c152ea706,2021-07-03 09:18:09
Alma ,député,10,Le Quotidien - Groupe Capitales Médias,"Investissements de 1,6 M$ dans trois MRC du Saguenay-Lac-Saint-Jean",2021-04-28,66,https://www.lequotidien.com/actualites/investissements-de-16-m-dans-trois-mrc-du-saguenay-lac-saint-jean-e5dcebf292e574de959aa1a2a762c583,2021-07-03 09:18:09
Alma ,député,11,Le Quotidien - Groupe Capitales Médias,De nouvelles responsabilités pour l'ancien député Sébastien Gagnon,2020-08-19,318,https://www.lequotidien.com/actualites/de-nouvelles-responsabilites-pour-lancien-depute-sebastien-gagnon-90897993c2ae94b56a3c65e1e24bd9ae,2021-07-03 09:18:09
Alma ,député,12,Le Quotidien - Groupe Capitales Médias,La maison des aînés d'Alma devrait être prête à l'été 2022,2021-02-17,136,https://www.lequotidien.com/actualites/la-maison-des-aines-dalma-devrait-etre-prete-a-lete-2022-d5129ee4aac9a3d2c0726a7669862242,2021-07-03 09:18:09
Alma ,député,13,Journal Le Lac St-Jean,Alexis Brunelle-Duceppe ouvre son bureau à Alma,,,https://lelacstjean.com/actualite/alexis-brunelle-duceppe-ouvre-son-bureau-a-alma/,2021-07-03 09:18:10
Alma ,député,14,Le Quotidien - Groupe Capitales Médias,Places en garderie au Bas-Saguenay : le député libéral Marc Tanguay interpelle la CAQ,2021-05-06,58,https://www.lequotidien.com/actualites/places-en-garderie-au-bas-saguenay--le-depute-liberal-marc-tanguay-interpelle-la-caq-2ddef37c56eb1079903726aa4a268945,2021-07-03 09:18:10
Alma ,député,15,ICI.Radio-Canada.ca,La prochaine phase d'Elysis se fera à l'aluminerie d'Alma,2021-04-21,73,https://ici.radio-canada.ca/nouvelle/1786337/technologie-innovation-aluminium-rio-tinto-alcoa,2021-07-03 09:18:10
Alma ,député,16,Le Quotidien - Groupe Capitales Médias,Des arbres et des sourires pour Alexis Brunelle-Duceppe,2021-05-22,42,https://www.lequotidien.com/actualites/des-arbres-et-des-sourires-pour-alexis-brunelle-duceppe-37d36f51c1475af73d60aba205cfcb24,2021-07-03 09:18:10
Alma ,député,17,Le Quotidien - Groupe Capitales Médias,Le tracé de l'autoroute 70 à Alma n'est toujours pas déterminé,2021-03-30,95,https://www.lequotidien.com/actualites/le-trace-de-lautoroute-70-a-alma-nest-toujours-pas-determine-e1a28ac40a5b5c6f08c587b40aa69f76,2021-07-03 09:18:10
Alma ,député,18,ICI.Radio-Canada.ca,Serge Simard sera candidat à la mairie de Saguenay,2020-12-23,192,https://ici.radio-canada.ca/nouvelle/1759114/politique-municipale-mairie-candidat-election,2021-07-03 09:18:11
Alma ,député,19,Le Quotidien - Groupe Capitales Médias,La députée libérale Francine Charbonneau se mobilise pour Boisaco,2021-05-28,36,https://www.lequotidien.com/actualites/la-deputee-liberale-francine-charbonneau-se-mobilise-pour-boisaco-045636047e81bc4084a7d9e0b48586be,2021-07-03 09:18:11
