"Villes","type mot-clés","hors Québec","local/regional","national","non media","Gini"
"Fermont","national",28,452,534,18,"0,477713178109414"
"Forestville","local",12,1256,451,185,"0,524947478881314"
"Forestville","mixte",2,690,145,14,"0,644829611917824"
"Forestville","national",20,580,249,19,"0,550691243985857"
"Gaspé","local",12,1682,783,59,"0,565260252276773"
"Gaspé","mixte",7,840,312,29,"0,585437710240593"
"Gaspé","national",29,683,633,37,"0,462735166291538"
"Gatineau","local",32,1739,466,261,"0,533026421051557"
"Gatineau","mixte",4,951,154,51,"0,634482758401903"
"Gatineau","national",18,1023,296,38,"0,595090908917792"
"Granby","local",1,2101,299,136,"0,636874260837702"
"Granby","mixte",0,1024,150,10,"0,678209459230335"
"Granby","national",3,1016,369,11,"0,60704074321457"
"Havre-Saint-Pierre","local",475,1183,534,177,"0,324715069594814"
"Havre-Saint-Pierre","mixte",186,486,334,25,"0,371241512950052"
"Havre-Saint-Pierre","national",357,385,332,9,"0,266158817999572"
"Joliette","local",31,1821,557,136,"0,568860510716093"
"Joliette","mixte",9,883,261,23,"0,607993197072111"
"Joliette","national",11,533,777,6,"0,534099472333354"
"Kuujjuaq","local",14,386,1325,19,"0,616399082427431"
"Kuujjuaq","mixte",6,156,791,28,"0,632772680679807"
"Kuujjuaq","national",24,192,747,18,"0,600152904954066"
"L'Islet","local",13,1714,476,132,"0,583190578058554"
"L'Islet","mixte",46,894,176,19,"0,606828193618739"
"L'Islet","national",62,774,303,12,"0,548870547159385"
"La Malbaie","local",18,1137,801,188,"0,462919776033037"
"La Malbaie","mixte",6,498,527,60,"0,458524289474418"
"La Malbaie","national",93,338,640,13,"0,490313652955604"
"La Pocatière","local",11,1866,447,47,"0,628954027730248"
"La Pocatière","mixte",1,934,193,21,"0,646431679496456"
"La Pocatière","national",19,669,425,6,"0,535075960487909"
"La Sarre","local",507,1316,228,324,"0,362842105202048"
"La Sarre","mixte",237,655,135,77,"0,415760869414579"
"La Sarre","national",428,389,166,38,"0,341087169308095"
"La Tuque","local",19,2126,254,50,"0,666088199156213"
"La Tuque","mixte",5,1055,85,7,"0,700520833090097"
"La Tuque","national",20,1084,227,6,"0,643418100031887"
"Lac-Etchemin","local",4,2068,185,103,"0,664618643955149"
"Lac-Etchemin","mixte",3,986,95,17,"0,687329700022769"
"Lac-Etchemin","national",8,828,204,10,"0,631904761664036"
"Lac-Mégantic","local",7,1499,662,178,"0,52855924969675"
"Lac-Mégantic","mixte",3,681,331,107,"0,503119429410653"
"Lac-Mégantic","national",14,679,379,10,"0,548059149520126"
"Lachute","local",1044,631,692,65,"0,308182565738786"
"Lachute","mixte",585,177,393,25,"0,40169491511807"
"Lachute","national",784,85,451,37,"0,480287398531971"
"Laval","local",405,985,1091,86,"0,350116867884672"
"Laval","mixte",63,454,622,61,"0,432083333189306"
"Laval","national",123,339,828,88,"0,441944847476939"
"Lavaltrie","local",0,1205,766,49,"0,53613861375522"
"Lavaltrie","mixte",1,601,329,35,"0,54192546561411"
"Lavaltrie","national",1,276,487,18,"0,548593350103021"
"Les Îles-de-la-Madeleine","local",105,1608,776,57,"0,522780832596578"
"Les Îles-de-la-Madeleine","mixte",25,692,436,47,"0,497916666500695"
"Les Îles-de-la-Madeleine","national",66,516,734,45,"0,462343864669407"
"Longueuil","local",6,1107,1138,262,"0,421906088273473"
"Longueuil","mixte",1,504,633,62,"0,487083333170972"
"Longueuil","national",8,378,973,41,"0,577142856977959"
"Louiseville","local",14,1868,277,156,"0,613714902701734"
"Louiseville","mixte",6,980,144,36,"0,649656946603891"
"Louiseville","national",18,919,255,4,"0,623327758988854"
"Lévis","local",36,1271,1090,151,"0,455651491294246"
"Lévis","mixte",4,746,440,10,"0,553333333148889"
"Lévis","national",27,616,715,11,"0,493243243099125"
"Magog","local",2,2137,241,138,"0,646147736196005"
"Magog","mixte",2,1016,112,47,"0,659940526538678"
"Magog","national",9,1006,267,12,"0,627125193005525"
"Maniwaki","local",12,1426,537,254,"0,50751458043831"
"Maniwaki","mixte",12,801,210,84,"0,563008129877865"
"Maniwaki","national",23,824,253,11,"0,600585058289618"
"Mansfield","local",439,474,547,154,"0,188042131304079"
"Mansfield","mixte",185,269,287,84,"0,209999999898182"
"Mansfield","national",377,114,196,91,"0,302056555114624"
"Marieville","local",7,1723,284,198,"0,591546112008762"
"Marieville","mixte",3,771,177,52,"0,605433698661841"
"Marieville","national",17,590,263,33,"0,539590254467513"
"Matane","local",5,1913,360,266,"0,571737421293752"
"Matane","mixte",8,922,144,89,"0,601246775373604"
"Matane","national",10,884,296,30,"0,591803278494491"
"Mirabel","local",110,1420,857,90,"0,478098506180364"
"Mirabel","mixte",27,638,449,63,"0,471325403408216"
"Mirabel","national",92,376,658,37,"0,461521925894575"
"Mont-Joli","local",102,1775,399,229,"0,517864271374393"
"Mont-Joli","mixte",14,952,133,25,"0,649911031797185"
"Mont-Joli","national",106,684,327,14,"0,493147656766349"
"Mont-Laurier","local",17,934,1115,257,"0,427356866047808"
"Mont-Laurier","mixte",6,399,599,122,"0,456483125947963"
"Mont-Laurier","national",7,484,619,8,"0,516994633088732"
"Montmagny","local",117,1477,616,189,"0,469674864448574"
"Montmagny","mixte",18,859,256,24,"0,595289541712951"
"Montmagny","national",20,682,399,4,"0,545927601612334"
"Montréal","local",11,428,2066,79,"0,630224458106776"
"Montréal","mixte",3,132,1045,20,"0,674583333108472"
"Montréal","national",12,86,1265,25,"0,688040345623043"
"Montréal_V2","local",403,1066,1023,108,"0,335961538409852"
"Montréal_V2","mixte",127,350,665,58,"0,425833333191389"
"Montréal_V2","national",359,139,793,109,"0,405714285598367"
"New Richmond","local",47,1640,307,147,"0,576716487514859"
"New Richmond","mixte",46,860,138,12,"0,624053030066647"
"New Richmond","national",116,418,341,6,"0,41458569788214"
"Nicolet","local",50,1906,308,152,"0,592301324405248"
"Nicolet","mixte",7,927,159,50,"0,627515310366574"
"Nicolet","national",31,1065,198,12,"0,63667687576212"
"Notre-Dame-du-Mont-Carmel","local",83,2035,129,112,"0,622403560725324"
