Villes,Alma,Amos,Amqui,Baie-Comeau,Beauce,Beloeil,Boucherville,Candiac,Caraquet,Chambly,Chandler,Chibougamau,Châteauguay,Chénéville,Coaticook,Coteau-du-Lac,Cowansville,Dolbeau-Mistassini,Drummondville,Gaspé,Gatineau,Granby,Joliette,Jonquière,Kirkland,La Tuque,Lac-Beauport,Lac-Etchemin,Lanaudière,Laval,Limoilou,Longueuil,Lévis,Magog,Matane,Montréal,New Richmond,Pays-d’en-Haut,Plessisville,Québec,Repentigny,Rimouski,Rivière-du-loup,Rivière-du-loup; Carleton-sur-Mer,Roberval,Rouyn-Noranda,Saguenay,Saint-Bruno-de-Montarville,Saint-Eustache,Saint-Georges,Saint-Hyacinthe,Saint-Jacques-le-Mineur,Saint-Jean-sur-Richelieu,Saint-Jérôme,Saint-Lambert,Saint-Lin-Laurentides,Saint-Pascal,Saint-Sauveur,Sainte-Julienne,Sainte-Marie de Beauce,Sainte-Thérèse,Salaberry-de-Valleyfield,Sept-Îles,Shawinigan,Sherbrooke,Sorel-Tracy,Suroît,Thetford Mines,Toronto,Trois-Pistoles,Trois-Rivières,Val-d’Or,Victoriaville,en ligne,hors Québec
Bécancour,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,15.0,70.0,3.0,3.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1487.0,0.0,0.0,0.0,182.0,0.0,3.0,1.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,104.0,0.0,75.0,0.0,0.0,2598.0,0.0,155.0,116.0,5.0
Carleton-sur-Mer,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,56.0,19.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,15.0,2677.0,4.0,0.0,0.0,905.0,0.0,33.0,2.0,442.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,60.0,0.0,0.0,0.0,2.0,0.0,29.0,0.0,0.0,200.0,14.0
Chambly,0.0,0.0,0.0,0.0,151.0,56.0,33.0,9.0,1.0,2557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,41.0,0.0,67.0,0.0,4.0,0.0,511.0,0.0,0.0,6.0,41.0,0.0,0.0,212.0,0.0,0.0,1.0,3.0,4.0,0.0,21.0,0.0,12.0,30.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,5.0,11.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,146.0,828.0
Chandler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,24.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1947.0,0.0,0.0,0.0,1394.0,0.0,17.0,0.0,442.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,0.0,127.0,350.0
Chibougamau,37.0,6.0,0.0,1.0,1.0,0.0,4.0,6.0,0.0,0.0,0.0,747.0,0.0,0.0,0.0,0.0,0.0,51.0,5.0,0.0,16.0,15.0,1.0,24.0,2.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2345.0,0.0,0.0,3.0,341.0,0.0,0.0,9.0,3.0,18.0,4.0,484.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,12.0,24.0,3.0,62.0,7.0
Chisasibi,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,19.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,41.0,2497.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,1.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,45.0,1.0,14.0
Châteauguay,0.0,0.0,0.0,0.0,0.0,0.0,39.0,196.0,0.0,4.0,0.0,0.0,2109.0,0.0,0.0,3.0,0.0,0.0,10.0,0.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,105.0,2.0,2.0,0.0,1365.0,0.0,0.0,1.0,149.0,0.0,8.0,0.0,1.0,0.0,0.0,13.0,0.0,1.0,0.0,1.0,102.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,108.0,0.0,0.0,15.0,0.0,297.0,0.0,0.0,0.0,3.0,1.0,0.0,143.0,3.0
Coaticook,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0,0.0,7.0,0.0,15.0,0.0,5.0,128.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,50.0,0.0,781.0,0.0,0.0,0.0,57.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1513.0,2.0,0.0,6.0,0.0,0.0,3.0,0.0,2.0,30.0,0.0
Cookshire-Eaton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,13.0,0.0,934.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2742.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,11.0,24.0,4.0
Cowansville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1494.0,0.0,3.0,0.0,41.0,2192.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,32.0,0.0,426.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,7.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,183.0,2.0
