Villes,Alma,Amos,Amqui,Baie-Comeau,Beauce,Beloeil,Boucherville,Candiac,Caraquet,Chambly,Chandler,Chibougamau,Châteauguay,Chénéville,Coaticook,Coteau-du-Lac,Cowansville,Dolbeau-Mistassini,Drummondville,Gaspé,Gatineau,Granby,Joliette,Jonquière,Kirkland,La Tuque,Lac-Beauport,Lac-Etchemin,Lanaudière,Laval,Limoilou,Longueuil,Lévis,Magog,Matane,Montréal,New Richmond,Pays-d’en-Haut,Plessisville,Québec,Repentigny,Rimouski,Rivière-du-loup,Rivière-du-loup; Carleton-sur-Mer,Roberval,Rouyn-Noranda,Saguenay,Saint-Bruno-de-Montarville,Saint-Eustache,Saint-Georges,Saint-Hyacinthe,Saint-Jacques-le-Mineur,Saint-Jean-sur-Richelieu,Saint-Jérôme,Saint-Lambert,Saint-Lin-Laurentides,Saint-Pascal,Saint-Sauveur,Sainte-Julienne,Sainte-Marie de Beauce,Sainte-Thérèse,Salaberry-de-Valleyfield,Sept-Îles,Shawinigan,Sherbrooke,Sorel-Tracy,Suroît,Thetford Mines,Toronto,Trois-Pistoles,Trois-Rivières,Val-d’Or,Victoriaville,en ligne,hors Québec
L'Islet,0.0,0.0,0.0,2.0,74.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,0.0,0.0,0.0,1.0,0.0,154.0,0.0,0.0,0.0,2.0,277.0,0.0,0.0,1600.0,0.0,0.0,0.0,625.0,0.0,4.0,357.0,462.0,0.0,0.0,7.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,451.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,15.0,0.0,0.0,21.0,0.0,0.0,211.0,111.0
La Malbaie,0.0,0.0,0.0,102.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,8.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,9.0,0.0,12.0,1724.0,0.0,0.0,0.0,1128.0,0.0,2.0,13.0,566.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,0.0,1.0,1.0,0.0,0.0,20.0,0.0,1.0,448.0,114.0
La Pocatière,2.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,12.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,7.0,11.0,0.0,17.0,1992.0,0.0,0.0,0.0,621.0,0.0,50.0,273.0,939.0,0.0,0.0,31.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,5.0,0.0,508.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,9.0,0.0,5.0,2.0,15.0,6.0,0.0,7.0,40.0,10.0
La Sarre,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2179.0,0.0,0.0,0.0,147.0,0.0,1.0,0.0,0.0,0.0,341.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,54.0,157.0,0.0,268.0,1164.0
La Tuque,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,27.0,26.0,0.0,0.0,1.0,1944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,908.0,0.0,0.0,0.0,147.0,0.0,1.0,0.0,1.0,2.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,21.0,1.0,0.0,0.0,0.0,0.0,1687.0,0.0,18.0,30.0,32.0
Lac-Etchemin,0.0,0.0,0.0,0.0,509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0,2141.0,0.0,0.0,2.0,0.0,147.0,0.0,0.0,618.0,0.0,0.0,2.0,517.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,11.0,0.0,0.0,18.0,0.0,0.0,105.0,7.0
Lac-Mégantic,0.0,0.0,0.0,0.0,38.0,0.0,7.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,6.0,0.0,27.0,0.0,0.0,0.0,22.0,82.0,2.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,5.0,34.0,0.0,1776.0,0.0,0.0,0.0,280.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,30.0,0.0,2.0,0.0,5.0,1653.0,0.0,0.0,73.0,0.0,0.0,11.0,0.0,118.0,233.0,8.0
Lachute,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,0.0,77.0,8.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,16.0,0.0,0.0,14.0,2.0,0.0,1449.0,0.0,45.0,0.0,353.0,0.0,3.0,3.0,0.0,11.0,0.0,71.0,0.0,98.0,0.0,0.0,0.0,0.0,35.0,0.0,2.0,0.0,8.0,0.0,0.0,157.0,0.0,3.0,0.0,18.0,0.0,0.0,0.0,13.0,2.0,10.0,0.0,1.0,68.0,2364.0
Laval,0.0,1.0,0.0,3.0,25.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,7.0,1.0,18.0,15.0,4.0,1.0,0.0,0.0,5.0,1.0,8.0,1052.0,2.0,9.0,10.0,1.0,2.0,2479.0,0.0,7.0,6.0,510.0,0.0,4.0,13.0,8.0,1.0,0.0,8.0,0.0,7.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,14.0,0.0,4.0,0.0,12.0,6.0,0.0,3.0,4.0,1.0,12.0,0.0,8.0,72.0,626.0
Lavaltrie,5.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,9.0,1.0,1232.0,0.0,0.0,0.0,13.0,0.0,243.0,16.0,0.0,13.0,0.0,0.0,0.0,1555.0,0.0,0.0,10.0,139.0,83.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,166.0,0.0,0.0,6.0,0.0,0.0,32.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,3.0,48.0,7.0
Les Îles-de-la-Madeleine,0.0,0.0,6.0,18.0,0.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,37.0,26.0,16.0,1.0,1.0,0.0,0.0,15.0,0.0,2.0,13.0,0.0,7.0,17.0,1.0,56.0,3297.0,0.0,0.0,0.0,914.0,0.0,57.0,22.0,225.0,0.0,0.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,13.0,0.0,1.0,0.0,4.0,7.0,30.0,0.0,7.0,39.0,126.0
Longueuil,0.0,0.0,0.0,0.0,2.0,9.0,375.0,25.0,0.0,16.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,2.0,5.0,0.0,12.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,1017.0,0.0,0.0,0.0,2929.0,0.0,2.0,3.0,250.0,3.0,3.0,5.0,0.0,0.0,1.0,10.0,1.0,0.0,12.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,22.0,33.0,0.0,0.0,0.0,0.0,11.0,0.0,7.0,204.0,8.0
Louiseville,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,70.0,23.0,12.0,0.0,0.0,10.0,2.0,0.0,10.0,3.0,0.0,11.0,0.0,0.0,0.0,1143.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,46.0,1.0,0.0,1.0,0.0,0.0,2873.0,0.0,72.0,133.0,17.0
Lévis,0.0,0.0,1.0,2.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,14.0,2.0,0.0,0.0,0.0,0.0,31.0,113.0,0.0,5.0,1.0,6.0,1031.0,1.0,1.0,1518.0,0.0,0.0,0.0,1733.0,1.0,4.0,9.0,4.0,0.0,0.0,5.0,0.0,0.0,44.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,16.0,0.0,0.0,0.0,3.0,14.0,0.0,0.0,14.0,1.0,0.0,7.0,0.0,1.0,386.0,55.0
Magog,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,11.0,0.0,8.0,0.0,23.0,75.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,27.0,1445.0,0.0,1125.0,0.0,0.0,0.0,175.0,0.0,0.0,1.0,1.0,0.0,2.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1854.0,0.0,0.0,1.0,0.0,0.0,12.0,2.0,6.0,129.0,7.0
Maniwaki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1656.0,7.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2043.0,0.0,12.0,2.0,215.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,23.0,6.0,1.0,309.0,4.0
Mansfield,0.0,0.0,0.0,0.0,1.0,0.0,13.0,19.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,264.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1441.0,0.0,0.0,5.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,58.0,969.0
Marieville,0.0,0.0,0.0,0.0,0.0,11.0,12.0,0.0,0.0,1878.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,6.0,0.0,32.0,765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,841.0,0.0,0.0,0.0,52.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,33.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,92.0,8.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,133.0,28.0
Matane,0.0,0.0,31.0,32.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,10.0,8.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,20.0,1.0,1662.0,1943.0,0.0,0.0,0.0,560.0,0.0,136.0,13.0,46.0,0.0,0.0,2.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,28.0,0.0,25.0,0.0,0.0,1.0,0.0,14.0,5.0,0.0,1.0,228.0,11.0
Mirabel,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,52.0,5.0,4.0,0.0,0.0,0.0,16.0,0.0,0.0,22.0,0.0,19.0,0.0,0.0,0.0,1866.0,0.0,83.0,10.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,665.0,2.0,0.0,6.0,1.0,325.0,0.0,0.0,0.0,86.0,2.0,0.0,900.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,1.0,165.0,213.0
Mont-Joli,0.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,43.0,22.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,2.0,0.0,7.0,0.0,0.0,254.0,1870.0,0.0,2.0,0.0,493.0,0.0,1161.0,39.0,118.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,62.0,0.0,0.0,0.0,0.0,20.0,9.0,0.0,0.0,306.0,207.0
Mont-Laurier,0.0,12.0,0.0,0.0,0.0,15.0,10.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,285.0,38.0,12.0,0.0,0.0,28.0,11.0,0.0,0.0,14.0,0.0,9.0,0.0,0.0,0.0,2583.0,0.0,277.0,0.0,452.0,0.0,0.0,10.0,11.0,0.0,1.0,3.0,0.0,21.0,1.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,43.0,0.0,0.0,64.0,0.0,1.0,1.0,100.0,1.0,4.0,0.0,0.0,0.0,54.0,2.0,3.0,306.0,27.0
Montmagny,0.0,0.0,0.0,0.0,70.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,34.0,9.0,1.0,0.0,0.0,0.0,41.0,229.0,5.0,0.0,0.0,4.0,411.0,0.0,2.0,1646.0,0.0,5.0,6.0,821.0,0.0,5.0,251.0,130.0,5.0,0.0,3.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,1.0,0.0,27.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,29.0,0.0,0.0,50.0,0.0,5.0,292.0,148.0
Montréal,0.0,0.0,0.0,1.0,2.0,1.0,12.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,13.0,16.0,2.0,0.0,0.0,0.0,30.0,0.0,3.0,17.0,0.0,9.0,2.0,0.0,3.0,4483.0,0.0,4.0,1.0,319.0,6.0,4.0,8.0,15.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,2.0,0.0,6.0,2.0,9.0,33.0,26.0
Montréal_V2,11.0,1.0,7.0,16.0,14.0,1.0,24.0,13.0,11.0,8.0,0.0,2.0,10.0,0.0,4.0,0.0,11.0,3.0,64.0,8.0,39.0,46.0,34.0,1.0,0.0,14.0,3.0,31.0,1.0,21.0,1.0,18.0,13.0,41.0,18.0,2468.0,0.0,10.0,3.0,631.0,10.0,27.0,28.0,41.0,6.0,0.0,36.0,1.0,11.0,22.0,1.0,4.0,4.0,2.0,3.0,2.0,10.0,6.0,3.0,5.0,19.0,16.0,33.0,4.0,55.0,17.0,5.0,30.0,2.0,3.0,89.0,2.0,70.0,47.0,746.0
New Richmond,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,20.0,52.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,2221.0,33.0,0.0,0.0,858.0,0.0,38.0,1.0,501.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,3.0,151.0,83.0
Nicolet,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,20.0,8.0,9.0,0.0,0.0,3.0,25.0,0.0,2.0,6.0,0.0,12.0,0.0,10.0,0.0,1258.0,0.0,0.0,1.0,86.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,128.0,0.0,0.0,0.0,0.0,2678.0,0.0,210.0,106.0,87.0
Notre-Dame-du-Mont-Carmel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,17.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,65.0,0.0,650.0,0.0,0.0,0.0,105.0,0.0,0.0,25.0,13.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,208.0,13.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0,197.0,3.0,0.0,0.0,0.0,0.0,2667.0,0.0,29.0,60.0,232.0
Ormstown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,17.0,0.0,0.0,56.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,73.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,1274.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,668.0,0.0,0.0,53.0,6.0,596.0,0.0,0.0,0.0,34.0,0.0,1.0,70.0,6.0
Plessisville,1.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,1.0,9.0,0.0,1.0,0.0,5.0,0.0,5.0,1.0,3.0,0.0,12.0,9.0,0.0,0.0,488.0,0.0,0.0,86.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,4.0,0.0,33.0,0.0,0.0,156.0,0.0,3353.0,124.0,11.0
Québec,4.0,0.0,2.0,10.0,14.0,2.0,6.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,6.0,0.0,4.0,0.0,40.0,7.0,28.0,24.0,12.0,2.0,0.0,10.0,11.0,12.0,1.0,14.0,1.0,11.0,50.0,6.0,14.0,2726.0,0.0,7.0,7.0,1562.0,7.0,20.0,38.0,19.0,6.0,1.0,21.0,0.0,7.0,17.0,0.0,3.0,11.0,0.0,1.0,5.0,3.0,1.0,3.0,9.0,3.0,3.0,12.0,6.0,39.0,1.0,2.0,11.0,4.0,1.0,48.0,4.0,46.0,87.0,18.0
Rawdon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1200.0,0.0,0.0,0.0,0.0,0.0,153.0,18.0,0.0,3.0,0.0,0.0,1.0,1822.0,0.0,5.0,0.0,144.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,292.0,0.0,0.0,0.0,18.0,0.0,78.0,0.0,0.0,76.0,0.0,6.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,85.0,48.0
Repentigny,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,21.0,2.0,381.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,1.0,22.0,0.0,0.0,2774.0,0.0,4.0,0.0,218.0,929.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,6.0,140.0,0.0,6.0,0.0,0.0,0.0,26.0,1.0,0.0,29.0,0.0,24.0,0.0,0.0,0.0,13.0,4.0,0.0,6.0,0.0,0.0,7.0,0.0,3.0,74.0,29.0
Rimouski,0.0,0.0,11.0,9.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,13.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,2.0,0.0,81.0,0.0,114.0,2201.0,0.0,1.0,0.0,724.0,2.0,1120.0,287.0,62.0,0.0,1.0,13.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,12.0,0.0,0.0,1.0,1.0,84.0,10.0,1.0,7.0,241.0,37.0
Rivière-du-Loup,0.0,0.0,3.0,0.0,36.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,4.0,4.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,18.0,2.0,11.0,1702.0,0.0,5.0,0.0,598.0,0.0,109.0,1504.0,591.0,0.0,2.0,7.0,0.0,0.0,15.0,0.0,6.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36.0,3.0,0.0,2.0,0.0,50.0,86.0,1.0,0.0,80.0,24.0
Rouyn-Noranda,0.0,16.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,6.0,0.0,12.0,3.0,0.0,2.0,4042.0,0.0,4.0,0.0,94.0,1.0,1.0,3.0,2.0,0.0,144.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,5.0,172.0,8.0,219.0,138.0
Saguenay,70.0,0.0,0.0,25.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,13.0,6.0,1.0,52.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,2716.0,0.0,0.0,0.0,648.0,0.0,1.0,6.0,7.0,21.0,0.0,1171.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,14.0,2.0,10.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,4.0,60.0,9.0
Saint-André-Avellin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,29.0,0.0,2177.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1048.0,0.0,0.0,0.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,68.0,0.0,2.0,0.0,0.0,0.0,59.0,0.0,0.0,220.0,22.0
Saint-Apollinaire,0.0,0.0,0.0,0.0,16.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,43.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,874.0,0.0,0.0,0.0,646.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,5.0,0.0,0.0,25.0,0.0,4.0,99.0,1323.0
Saint-Eustache,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,8.0,48.0,2.0,4.0,1646.0,0.0,42.0,1.0,131.0,2.0,3.0,1.0,2.0,0.0,3.0,50.0,0.0,1915.0,0.0,0.0,0.0,4.0,11.0,0.0,3.0,2.0,13.0,0.0,0.0,227.0,0.0,0.0,0.0,34.0,18.0,0.0,0.0,3.0,0.0,48.0,8.0,8.0,211.0,228.0
Saint-Félicien,39.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,128.0,0.0,0.0,10.0,12.0,5.0,35.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1209.0,0.0,0.0,0.0,425.0,0.0,0.0,0.0,2.0,821.0,0.0,1863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,186.0,86.0
Saint-Georges,1.0,0.0,1.0,17.0,715.0,9.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,5.0,13.0,7.0,0.0,0.0,0.0,8.0,64.0,2.0,10.0,2.0,8.0,162.0,0.0,32.0,938.0,0.0,2.0,0.0,408.0,0.0,7.0,16.0,2.0,0.0,0.0,11.0,0.0,0.0,1113.0,0.0,66.0,31.0,0.0,0.0,8.0,0.0,4.0,4.0,78.0,2.0,0.0,0.0,25.0,26.0,2.0,0.0,24.0,0.0,0.0,39.0,0.0,20.0,161.0,942.0
Saint-Henri,140.0,0.0,0.0,1.0,27.0,1.0,2.0,10.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,13.0,0.0,15.0,10.0,3.0,11.0,0.0,0.0,16.0,291.0,0.0,6.0,0.0,6.0,271.0,0.0,46.0,1925.0,0.0,9.0,2.0,645.0,0.0,0.0,30.0,4.0,2.0,0.0,298.0,0.0,7.0,12.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,4.0,3.0,17.0,0.0,2.0,3.0,0.0,21.0,8.0,0.0,25.0,1.0,1.0,28.0,0.0,70.0,251.0,659.0
