Villes,type mot-clés,local/regional,autres
Notre-Dame-du-Mont-Carmel,national,1057,215
Ormstown,local,1037,745
Ormstown,mixte,601,277
Ormstown,national,236,446
Plessisville,local,2046,265
Plessisville,mixte,1025,113
Plessisville,national,816,248
Québec,local,997,1603
Québec,mixte,317,872
Québec,national,225,1175
Rawdon,local,1218,944
Rawdon,mixte,583,396
Rawdon,national,266,665
Repentigny,local,1118,1337
Repentigny,mixte,637,556
Repentigny,national,292,926
Rimouski,local,1688,891
Rimouski,mixte,911,289
Rimouski,national,912,457
Rivière-du-Loup,local,2108,442
Rivière-du-Loup,mixte,949,226
Rivière-du-Loup,national,976,372
Rouyn-Noranda,local,1549,961
Rouyn-Noranda,mixte,837,349
Rouyn-Noranda,national,740,543
Saguenay,local,1592,987
Saguenay,mixte,735,465
Saguenay,national,590,750
Saint-André-Avellin,local,1567,500
Saint-André-Avellin,mixte,879,155
Saint-André-Avellin,national,815,122
Saint-Apollinaire,local,1116,1196
Saint-Apollinaire,mixte,744,358
Saint-Apollinaire,national,411,713
Saint-Eustache,local,1491,980
Saint-Eustache,mixte,752,420
Saint-Eustache,national,456,772
Saint-Félicien,local,1972,572
Saint-Félicien,mixte,960,206
Saint-Félicien,national,986,241
Saint-Georges,local,1625,962
Saint-Georges,mixte,878,304
Saint-Georges,national,472,815
Saint-Henri,local,1216,1325
Saint-Henri,mixte,488,691
Saint-Henri,national,447,842
Saint-Honoré,local,1702,848
Saint-Honoré,mixte,775,398
Saint-Honoré,national,561,657
Saint-Hyacinthe,local,667,1854
Saint-Hyacinthe,mixte,325,875
Saint-Hyacinthe,national,293,977
Saint-Jean-sur-Richelieu,local,1479,1103
Saint-Jean-sur-Richelieu,mixte,618,582
Saint-Jean-sur-Richelieu,national,622,720
Saint-Jérôme,local,1227,1325
Saint-Jérôme,mixte,550,650
Saint-Jérôme,national,527,786
Saint-Lin-Laurentides,local,1694,675
Saint-Lin-Laurentides,mixte,893,241
Saint-Lin-Laurentides,national,449,527
Saint-Pierre-de-l'Île-d'Orléans,local,356,878
