Type_media,hors Québec,hors Québec,hors Québec,local/regional,local/regional,local/regional,national,national,national,non media,non media,non media
type mot-clés,local,mixte,national,local,mixte,national,local,mixte,national,local,mixte,national
Villes,,,,,,,,,,,,
Acton Vale,230.75,0.0,61.666666666666664,152.509130752374,154.18481012658228,146.7964148527529,151.98983050847457,202.47878787878787,217.9262295081967,71.5081081081081,101.68,131.55555555555554
Alma,26.165413533834588,20.943181818181817,51.43814432989691,125.90660225442834,119.32273838630807,147.9218106995885,104.0406779661017,98.96644295302013,162.98636363636365,42.726190476190474,47.70454545454545,37.29545454545455
Amos,70.14925373134328,29.783783783783782,98.30177514792899,158.48659916617035,106.57509157509158,173.22814814814814,119.94324324324324,131.07509881422925,160.2735294117647,42.34905660377358,36.983333333333334,88.33333333333333
Amqui,111.33333333333333,0.0,176.33333333333334,169.03736413043478,151.58992805755395,283.671826625387,157.23921568627452,208.15584415584416,386.4967741935484,61.44110275689223,43.72284644194757,124.40625
Baie-Comeau,17.636363636363637,4.333333333333333,137.4,138.8969465648855,110.28322440087146,157.97938144329896,122.20631067961165,99.21875,144.6879271070615,31.819277108433734,17.846153846153847,40.375
Baie-Saint-Paul,50.29032258064516,23.74074074074074,85.80555555555556,115.27716330513988,114.4563953488372,134.99657534246575,118.69094922737307,115.09367088607596,154.95111111111112,58.920731707317074,63.15151515151515,25.5
Beauceville,7.0,15.25,7.0,114.49641025641026,100.7716615698267,167.7941176470588,130.88538681948424,113.8468899521531,202.978354978355,24.761904761904763,78.0,112.22222222222223
Blainville,68.38345864661655,39.850746268656714,117.42477876106194,132.86379018612521,108.28810975609755,131.73566878980893,137.54351395730706,124.05438066465257,162.70483005366725,47.863247863247864,70.51162790697674,104.11111111111111
Blanc-Sablon,168.0909090909091,312.36842105263156,147.01075268817203,354.8973577235772,276.65637065637065,412.83892617449663,381.7258883248731,258.43027888446215,580.3939393939394,49.8235294117647,18.0,28.0
Boischatel,0.0,0.0,0.0,289.0501193317422,206.7258064516129,390.6666666666667,187.76099706744867,220.66071428571428,368.76978417266184,109.23529411764706,122.0909090909091,244.33333333333334
Bécancour,8.0,0.0,114.71428571428571,121.09751972942503,83.31596091205212,126.33649789029536,117.12594458438288,96.40625,137.83393501805054,48.71311475409836,42.675,38.4
Carleton-sur-Mer,72.61904761904762,41.733333333333334,313.2888888888889,185.43321513002365,161.33174224343676,214.93300653594773,194.87399463806972,172.02868852459017,199.69480519480518,82.0,48.666666666666664,38.0
Chambly,86.17647058823529,63.470588235294116,137.2595238095238,107.35620711166563,76.96796338672769,102.0811744386874,79.65989847715736,97.32407407407408,61.776923076923076,25.082417582417584,37.6764705882353,75.5
Chandler,20.746666666666666,7.761904761904762,84.95433789954338,164.78208092485548,134.9031100478469,194.6215139442231,166.42897727272728,122.32743362831859,226.48235294117646,43.37096774193548,20.565217391304348,7.892857142857143
Chibougamau,402.75,93.66666666666667,5.0,223.93710691823898,160.56360946745562,206.60722891566266,201.35247524752475,151.8713692946058,203.99585062240664,79.85,61.57142857142857,73.5
Chisasibi,327.0,602.8,951.4,545.483870967742,323.508547008547,524.5934579439253,192.53832442067736,159.3846153846154,212.30529595015577,130.7,131.16666666666666,139.25
Châteauguay,4.0,0.0,0.0,107.50425273390036,96.92857142857143,151.7364185110664,137.7155361050328,86.66153846153846,177.78284671532847,22.939393939393938,79.94117647058823,64.06666666666666
Coaticook,146.0,183.0,34.0,105.98333333333333,98.09825997952917,150.3054945054945,134.19540229885058,189.2051282051282,150.26612903225808,66.36585365853658,101.07692307692308,107.6
