Villes,type mot-clés,hors Québec,local/regional,national,non media,Villes
Cowansville,national,1.0,985.0,150.0,1.0,Cowansville-national
Dolbeau-Mistassini,local,0.0,1966.0,199.0,258.0,Dolbeau-Mistassini-local
Dolbeau-Mistassini,mixte,0.0,964.0,97.0,46.0,Dolbeau-Mistassini-mixte
Dolbeau-Mistassini,national,12.0,938.0,126.0,12.0,Dolbeau-Mistassini-national
Drummondville,local,1.0,1777.0,293.0,452.0,Drummondville-local
Drummondville,mixte,2.0,846.0,114.0,154.0,Drummondville-mixte
Drummondville,national,4.0,751.0,422.0,157.0,Drummondville-national
Fermont,local,45.0,1255.0,788.0,86.0,Fermont-local
Fermont,mixte,6.0,678.0,388.0,14.0,Fermont-mixte
Fermont,national,28.0,452.0,534.0,18.0,Fermont-national
Forestville,local,12.0,1256.0,451.0,185.0,Forestville-local
Forestville,mixte,2.0,690.0,145.0,14.0,Forestville-mixte
Forestville,national,20.0,580.0,249.0,19.0,Forestville-national
Gaspé,local,12.0,1682.0,783.0,59.0,Gaspé-local
Gaspé,mixte,7.0,840.0,312.0,29.0,Gaspé-mixte
Gaspé,national,29.0,683.0,633.0,37.0,Gaspé-national
Gatineau,local,32.0,1739.0,466.0,261.0,Gatineau-local
Gatineau,mixte,4.0,951.0,154.0,51.0,Gatineau-mixte
Gatineau,national,18.0,1023.0,296.0,38.0,Gatineau-national
Granby,local,1.0,2101.0,299.0,136.0,Granby-local
Granby,mixte,0.0,1024.0,150.0,10.0,Granby-mixte
Granby,national,3.0,1016.0,369.0,11.0,Granby-national
Havre-Saint-Pierre,local,475.0,1183.0,534.0,177.0,Havre-Saint-Pierre-local
Havre-Saint-Pierre,mixte,186.0,486.0,334.0,25.0,Havre-Saint-Pierre-mixte
Havre-Saint-Pierre,national,357.0,385.0,332.0,9.0,Havre-Saint-Pierre-national
Joliette,local,31.0,1821.0,557.0,136.0,Joliette-local
Joliette,mixte,9.0,883.0,261.0,23.0,Joliette-mixte
Joliette,national,11.0,533.0,777.0,6.0,Joliette-national
Kuujjuaq,local,14.0,386.0,1325.0,19.0,Kuujjuaq-local
Kuujjuaq,mixte,6.0,156.0,791.0,28.0,Kuujjuaq-mixte
Kuujjuaq,national,24.0,192.0,747.0,18.0,Kuujjuaq-national
L'Islet,local,13.0,1714.0,476.0,132.0,L'Islet-local
L'Islet,mixte,46.0,894.0,176.0,19.0,L'Islet-mixte
L'Islet,national,62.0,774.0,303.0,12.0,L'Islet-national
La Malbaie,local,18.0,1137.0,801.0,188.0,La Malbaie-local
La Malbaie,mixte,6.0,498.0,527.0,60.0,La Malbaie-mixte
La Malbaie,national,93.0,338.0,640.0,13.0,La Malbaie-national
La Pocatière,local,11.0,1866.0,447.0,47.0,La Pocatière-local
La Pocatière,mixte,1.0,934.0,193.0,21.0,La Pocatière-mixte
La Pocatière,national,19.0,669.0,425.0,6.0,La Pocatière-national
La Sarre,local,507.0,1316.0,228.0,324.0,La Sarre-local
La Sarre,mixte,237.0,655.0,135.0,77.0,La Sarre-mixte
La Sarre,national,428.0,389.0,166.0,38.0,La Sarre-national
La Tuque,local,19.0,2126.0,254.0,50.0,La Tuque-local
La Tuque,mixte,5.0,1055.0,85.0,7.0,La Tuque-mixte
La Tuque,national,20.0,1084.0,227.0,6.0,La Tuque-national
Lac-Etchemin,local,4.0,2068.0,185.0,103.0,Lac-Etchemin-local
Lac-Etchemin,mixte,3.0,986.0,95.0,17.0,Lac-Etchemin-mixte
Lac-Etchemin,national,8.0,828.0,204.0,10.0,Lac-Etchemin-national
Lac-Mégantic,local,7.0,1499.0,662.0,178.0,Lac-Mégantic-local
Lac-Mégantic,mixte,3.0,681.0,331.0,107.0,Lac-Mégantic-mixte
Lac-Mégantic,national,14.0,679.0,379.0,10.0,Lac-Mégantic-national
Lachute,local,1044.0,631.0,692.0,65.0,Lachute-local
Lachute,mixte,585.0,177.0,393.0,25.0,Lachute-mixte
Lachute,national,784.0,85.0,451.0,37.0,Lachute-national
Laval,local,405.0,985.0,1091.0,86.0,Laval-local
Laval,mixte,63.0,454.0,622.0,61.0,Laval-mixte
Laval,national,123.0,339.0,828.0,88.0,Laval-national
Lavaltrie,local,0.0,1205.0,766.0,49.0,Lavaltrie-local
Lavaltrie,mixte,1.0,601.0,329.0,35.0,Lavaltrie-mixte
Lavaltrie,national,1.0,276.0,487.0,18.0,Lavaltrie-national
Les Îles-de-la-Madeleine,local,105.0,1608.0,776.0,57.0,Les Îles-de-la-Madeleine-local
Les Îles-de-la-Madeleine,mixte,25.0,692.0,436.0,47.0,Les Îles-de-la-Madeleine-mixte
