Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,URL
Alma ,Accident,1,Le Quotidien - Groupe Capitales Médias,Sortie de route sur la 169 à Alma | Justice et faits divers | Actualités,2021-05-24,https://www.lequotidien.com/actualites/justice-et-faits-divers/sortie-de-route-sur-la-169-a-alma-aed1cf2d645bd679b3264e74d266a3b8
Alma ,Accident,2,La Presse,Quatre blessés dans un accident à Alma,2020-07-26,https://www.lapresse.ca/actualites/justice-et-faits-divers/2020-07-26/quatre-blesses-dans-un-accident-a-alma.php
Alma ,Accident,3,Le Quotidien - Groupe Capitales Médias,Grave accident entre un quadriporteur et une voiture à Alma,2020-10-31,https://www.lequotidien.com/actualites/grave-accident-entre-un-quadriporteur-et-une-voiture-a-alma-57d24ee6241e495a2ebc70c0e8b61c76
Alma ,Accident,4,Ouest-France,Rennes. Accidents en série et gros bouchons sur la rocade,2021-05-24,https://www.ouest-france.fr/bretagne/rennes-35000/rennes-accidents-en-serie-et-gros-bouchons-sur-la-rocade-6964b9f8-bc8f-11eb-a359-3a714ef76b03
Alma ,Cégep,1,L'Étoile du Lac,Les cégeps d'Alma et Saint-Félicien en grève,2021-05-11,https://www.letoiledulac.com/actualite/les-cegeps-dalma-et-saint-felicien-en-greve/
Alma ,Cégep,2,ICI.Radio-Canada.ca,Le nouveau programme de pharmacie fait fureur au Collège d'Alma,2021-05-13,https://ici.radio-canada.ca/nouvelle/1792605/techniques-pharmacie-college-alma-demandes
Alma ,Cégep,3,ICI.Radio-Canada.ca,Une deuxième année difficile pour le recrutement d'étudiants étrangers,2021-05-18,https://ici.radio-canada.ca/nouvelle/1793969/etudiants-etrangers-recrutement-covid-cegeps
Alma ,Cégep,4,Le Quotidien - Groupe Capitales Médias,Vote de grève: les enseignants du Collège d'Alma divisés,2021-04-22,https://www.lequotidien.com/actualites/vote-de-greve-les-enseignants-du-college-dalma-divises-52c325e032908b0fe89e694f475b60af
