Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL
Amos ,accident,1,La Presse,L'éditeur Michel Brûlé meurt dans un accident de vélo au Brésil,2021-06-01,1,https://www.lapresse.ca/actualites/2021-05-31/l-editeur-michel-brule-meurt-dans-un-accident-de-velo-au-bresil.php
Amos ,accident,2,ICI.Radio-Canada.ca,Une collision entre un piéton et un poids lourd fait un mort sur la route 109,2021-04-23,40,https://ici.radio-canada.ca/nouvelle/1787473/accident-route-109-amos-pikogan-poids-lourd-pieton
Amos ,accident,3,ICI.Radio-Canada.ca,Une manifestation « pour toutes les personnes qui ont perdu la vie sur la route 109 »,2021-05-17,16,https://ici.radio-canada.ca/nouvelle/1793748/manifestation-route-109-amos-pikogan
Amos ,accident,4,ICI.Radio-Canada.ca,Une sortie de route cause des blessures graves à Cadillac,2021-05-24,9,https://ici.radio-canada.ca/nouvelle/1795671/conduite-facultes-affaiblies-rouyn-noranda
Amos ,accident,5,ICI.Radio-Canada.ca,Un appui de taille pour le projet du Centre récréatif Dominic-Boutin,2021-05-10,23,https://ici.radio-canada.ca/nouvelle/1792042/subvention-centre-recreatif-dominic-boutin-saint-marc-figuery
Amos ,accident,6,ICI.Radio-Canada.ca,Sauvetage sur glace à Amos : deux motoneigistes s'en tirent indemnes,2021-01-16,137,https://ici.radio-canada.ca/nouvelle/1763707/motoneige-accident-glace-amos
Amos ,accident,7,Ouest-France,"Canada. Après avoir été vu nu, un député surpris à la caméra en train d’uriner dans une tasse",2021-05-29,4,https://www.ouest-france.fr/monde/canada/apres-avoir-ete-vu-nu-un-depute-canadien-surpris-a-la-camera-en-train-d-uriner-dans-une-tasse-7278464
Amos ,accident,8,Le Citoyen Val-d'Or - Amos,La ligue d'impro Lalibaba reviendra cet automne,2021-05-26,7,https://www.lecitoyenvaldoramos.com/article/2021/05/26/la-ligue-d-impro-lalibaba-reviendra-cet-automne
Amos ,accident,9,BFMTV.COM,"Surpris nu il y a un mois, cet élu canadien filmé en train d'uriner en pleine visioconférence",2021-06-02,0,https://rmc.bfmtv.com/emission/surpris-nu-il-y-a-un-mois-cet-elu-canadien-desormais-filme-en-train-d-uriner-en-pleine-visioconference-2043656.html
Amos ,accident,10,ICI.Radio-Canada.ca,Deux policiers de Lac-Simon impliqués dans un accident sur la route 117,2021-01-16,137,https://ici.radio-canada.ca/nouvelle/1763651/accident-route-lac-simon-police-sq-117
Amos ,décès OR mort,1,NecrologieCanada,BRILLANT GALARNEAU Bertrande 1929 2021,2021-06-02,0,https://necrocanada.com/deces-2021/brillant-galarneau-bertrande-1929-2021/
Amos ,décès OR mort,2,Le Devoir,Les communautés autochtones n'écartent pas les fouilles radar,2021-06-02,0,https://www.ledevoir.com/societe/606648/pensionnats-autochtones-les-communautes-autochtones-du-quebec-n-ecartent-pas-les-fouilles-radar
