Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type de mot-clés
Montréal_V2,accident,1,La Nouvelle Union,Accident de moto à Saint-Norbert-d'Arthabaska,2021-09-17,1,https://www.lanouvelle.net/2021/09/17/accident-de-moto-a-saint-norbert-darthabaska-2/,2021-09-18 16:00:09,local
Montréal_V2,accident,2,Zone911,Accident Québec: Congestion sur l'autoroute de la Capitale voici pourquoi,2021-09-17,1,https://zone911.com/accidents/31480-accident-quebec-congestion-sur-l-autoroute-de-la-capitale-voici-pourquoi,2021-09-18 16:00:09,local
Montréal_V2,accident,3,TVA Nouvelles,Accident mortel: la police de Laval cherche un «témoin important»,2021-09-17,1,https://www.tvanouvelles.ca/2021/09/17/accident-mortel-la-police-de-laval-cherche-un-temoin-important-1,2021-09-18 16:00:09,local
Montréal_V2,accident,4,La Tribune - Groupe Capitales Médias,Accident de moto : une femme succombe à ses blessures,2021-09-18,0,https://www.latribune.ca/actualites/accident-de-moto--une-femme-succombe-a-ses-blessures-7916c69bba116b6787b15726f5b15548,2021-09-18 16:00:10,local
Montréal_V2,accident,5,L'Avantage Rimouski,Accident mortel à Saint-Donat : vague de soutien envers la famille de Nadine Dubé,2021-09-15,3,https://www.lavantage.qc.ca/article/2021/09/15/accident-mortel-a-saint-donat-vague-de-soutien-envers-la-famille-de-nadine-dube,2021-09-18 16:00:10,local
Montréal_V2,accident,6,Le Journal Saint-François,Un motocycliste décède dans un accident à Sainte-Barbe,2021-09-12,6,https://www.journalsaint-francois.ca/motocycliste-decede-accident-sainte-barbe/,2021-09-18 16:00:10,local
Montréal_V2,accident,7,ICI.Radio-Canada.ca,Accident mortel à Beauport : le 911 avait reçu un appel pour conduite erratique,2021-09-02,16,https://ici.radio-canada.ca/nouvelle/1824161/accident-mortel-beauport-autoroute-dufferin-accuse-eric-legare-conduite-erratique-centre-ville-saint-roch-911-bar,2021-09-18 16:00:10,local
Montréal_V2,accident,8,Mon Joliette,Un homme de 38 ans perd la vie dans un accident de la route à Saint-Roch-de-l'Achigan,2021-09-15,3,https://monjoliette.com/un-homme-de-38-ans-perd-la-vie-dans-un-accident-de-la-route-a-saint-roch-de-lachigan/,2021-09-18 16:00:11,local
Montréal_V2,accident,9,TVA Nouvelles,Un motocycliste happé à Laval,2021-09-17,1,https://www.tvanouvelles.ca/2021/09/17/un-motocycliste-happe-a-laval-1,2021-09-18 16:00:11,local
Montréal_V2,accident,10,Le Journal de Québec,Accident mortel à Beauport: une tragédie qui ravive de douloureux souvenirs,2021-09-06,12,https://www.journaldequebec.com/2021/09/06/accident-mortel-a-beauport-une-tragedie-qui-ravive-de-douloureux-souvenirs-1,2021-09-18 16:00:12,local
Montréal_V2,accident,11,La Presse,Québec | Un autre accident sur l'autoroute Dufferin-Montmorency,2021-09-13,5,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-09-13/quebec/un-autre-accident-sur-l-autoroute-dufferin-montmorency.php,2021-09-18 16:00:12,local
Montréal_V2,accident,12,Mon Joliette,Un homme de 26 ans perd la vie dans un accident de la route à L'Épiphanie,2021-09-14,4,https://monjoliette.com/un-homme-de-26-ans-perd-la-vie-dans-un-accident-de-la-route-a-lepiphanie/,2021-09-18 16:00:12,local
Montréal_V2,accident,13,La Presse,Deux personnes meurent dans un accident de voiture en Mauricie,2021-09-05,13,https://www.lapresse.ca/actualites/regional/2021-09-05/deux-personnes-meurent-dans-un-accident-de-voiture-en-mauricie.php,2021-09-18 16:00:12,local
Montréal_V2,accident,14,Le Journal de Québec,Accident mortel en Beauce: une famille à nouveau touchée par le drame,2021-08-29,20,https://www.journaldequebec.com/2021/08/29/accident-mortel-a-saint-zacharie-une-famille-a-nouveau-touchee-par-le-drame,2021-09-18 16:00:12,local
Montréal_V2,accident,15,La Presse,Saint-Donat | Un mort et deux blessés dans un accident,2021-09-12,6,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-09-11/saint-donat/un-mort-et-deux-blesses-dans-un-accident.php,2021-09-18 16:00:13,local
Montréal_V2,accident,16,TVA Nouvelles,Un policier en déontologie pour un accident mortel,2021-09-15,3,https://www.tvanouvelles.ca/2021/09/15/un-policier-en-deontoligie-pour-un-accident-mortel,2021-09-18 16:00:13,local
Montréal_V2,accident,17,La Presse,Un motocycliste meurt dans un accident à Québec,2021-09-06,12,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-09-06/un-motocycliste-meurt-dans-un-accident-a-quebec.php,2021-09-18 16:00:13,local
Montréal_V2,accident,18,Le Journal de Québec,Accident mortel à Beauport: Bonnardel veut sécuriser le secteur,2021-09-08,10,https://www.journaldequebec.com/2021/09/08/accident-mortel-a-beauport-bonnardel-veut-securiser-le-secteur,2021-09-18 16:00:13,local
Montréal_V2,accident,19,ICI.Radio-Canada.ca,Accident majeur à Beauport : deux morts et deux enfants dans un état critique,2021-09-03,15,https://ici.radio-canada.ca/nouvelle/1821356/accident-surete-quebec-collision-,2021-09-18 16:00:13,local
Montréal_V2,accident,20,TVA Nouvelles,Accident grave à Laval: le motocycliste succombe à ses blessures,2021-08-31,18,https://www.tvanouvelles.ca/2021/08/31/accident-grave-a-laval-un-motocycliste-entre-la-vie-et-la-mort,2021-09-18 16:00:14,local
Montréal_V2,accident,21,La Voix de l'est - Groupe Capitales Médias,Deux véhicules impliqués dans un accident à Bromont,2021-09-17,1,https://www.lavoixdelest.ca/actualites/deux-vehicules-impliques-dans-un-accident-a-bromont-f00b0d395bc55bf8d38f45c61c4a1b14,2021-09-18 16:00:14,local
Montréal_V2,accident,22,La Tribune - Groupe Capitales Médias,Accident de la route : un jeune homme de 17 ans entre la vie et la mort,2021-09-18,0,https://www.latribune.ca/actualites/accident-de-la-route--un-jeune-homme-de-17-ans-entre-la-vie-et-la-mort-1be604e967a381f1da76f290ae8262b6,2021-09-18 16:00:14,local
Montréal_V2,accident,23,Le Journal de Québec,Accident de la route mortel à Sept-Îles,2021-08-28,21,https://www.journaldequebec.com/2021/08/28/accident-de-la-route-mortel-a-sept-iles,2021-09-18 16:00:14,local
Montréal_V2,accident,24,Le Journal de Montréal,Accident à Terrebonne: un jeune conducteur de cyclomoteur gravement blessé,2021-08-31,18,https://www.journaldemontreal.com/2021/08/31/accident-a-terrebonne-un-jeune-conducteur-de-cyclomoteur-gravement-blesse,2021-09-18 16:00:14,local
Montréal_V2,accident,25,La Presse,Tragique accident sur la route 132 | « Il faut trouver des solutions »,2021-08-23,26,https://www.lapresse.ca/actualites/2021-08-23/tragique-accident-sur-la-route-132/il-faut-trouver-des-solutions.php,2021-09-18 16:00:15,local
Montréal_V2,décès OR mort,1,ICI.Radio-Canada.ca,Enquête publique sur la mort de Serenity : au tour de la mère de témoigner,2021-09-18,0,https://ici.radio-canada.ca/nouvelle/1825185/enquete-publique-serenity-enfant-mere-temoigner,2021-09-18 16:00:50,local
Montréal_V2,décès OR mort,2,ICI.Radio-Canada.ca,Mort d'un enfant qui avait contracté la COVID-19 en Ontario | Coronavirus : Ontario,2021-09-17,1,https://ici.radio-canada.ca/nouvelle/1825015/covid-19-mort-enfant-waterloo,2021-09-18 16:00:50,local
Montréal_V2,décès OR mort,3,TVA Nouvelles,Mort de la COVID à 39 ans: la famille et une communauté sous le choc,2021-09-16,2,https://www.tvanouvelles.ca/2021/09/16/mort-de-la-covid-a-39-ans-la-famille-et-une-communaute-sous-le-choc,2021-09-18 16:00:51,local
Montréal_V2,décès OR mort,4,Le Soleil - Groupe Capitales Médias,Algérie: l'ex-président Abdelaziz Bouteflika est mort,2021-09-17,1,https://www.lesoleil.com/actualite/monde/algerie-lex-president-abdelaziz-bouteflika-est-mort-adeda53ee022f0e2229ba65016a8d7c7,2021-09-18 16:00:51,local
Montréal_V2,décès OR mort,5,La Presse,"COVID-19 au Québec | 821 nouveaux cas, trois décès",2021-09-18,0,https://www.lapresse.ca/covid-19/2021-09-18/covid-19-au-quebec/821-nouveaux-cas-trois-deces.php,2021-09-18 16:00:51,local
Montréal_V2,décès OR mort,6,La Presse,Montréal | Deux agressions à l'arme blanche font un mort et deux blessés,2021-09-18,0,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-09-18/montreal/deux-agressions-a-l-arme-blanche-font-un-mort-et-deux-blesses.php,2021-09-18 16:00:51,local
Montréal_V2,décès OR mort,7,Le Devoir,Le paysage pittoresque est mort,2021-09-18,0,https://www.ledevoir.com/culture/arts-visuels/633042/arts-visuels-le-paysage-pittoresque-est-mort,2021-09-18 16:00:52,local
Montréal_V2,décès OR mort,8,TVA Nouvelles,Mort suspecte devant la porte d'un presbytère,2021-09-17,1,https://www.tvanouvelles.ca/2021/09/17/un-homme-retrouve-dans-un-etat-critique-apres-avoir-ete-poignarde-1,2021-09-18 16:00:52,local
Montréal_V2,décès OR mort,9,Nord Info et Voix des Mille-Iles,Décès d'un détenu au Centre régional de réception de Sainte-Anne-des-Plaines,2021-09-17,1,https://www.nordinfo.com/actualites/deces-dun-detenu-au-centre-regional-de-reception-de-sainte-anne-des-plaines/,2021-09-18 16:00:52,local
Montréal_V2,décès OR mort,10,TVA Nouvelles,837 nouveaux cas et trois décès,2021-09-17,1,https://www.tvanouvelles.ca/2021/09/17/837-nouveaux-cas-et-trois-deces,2021-09-18 16:00:52,local
Montréal_V2,décès OR mort,11,ICI.Radio-Canada.ca,La GRC enquête sur la mort d'un adolescent de 16 ans à Grand Rapids,2021-09-18,0,https://ici.radio-canada.ca/nouvelle/1825286/homicide-grand-rapids-adolescent-grc,2021-09-18 16:00:52,local
Montréal_V2,décès OR mort,12,La Presse,Décès d'une élève du secondaire | Des militants antivaccins interpellent des élèves en deuil,2021-09-09,9,https://www.lapresse.ca/actualites/education/2021-09-09/deces-d-une-eleve-du-secondaire/des-militants-antivaccins-interpellent-des-eleves-en-deuil.php,2021-09-18 16:00:53,local
Montréal_V2,décès OR mort,13,Le Journal de Montréal,"Mort mystérieuse d'un couple, de leur bébé et de leur chien dans une forêt californienne",2021-08-23,26,https://www.journaldemontreal.com/2021/08/23/mort-mysterieuse-dun-couple-de-leur-bebe-et-de-leur-chien-dans-une-foret-californienne,2021-09-18 16:00:53,local
Montréal_V2,décès OR mort,14,Le Journal de Montréal,Décès de l'humoriste Norm Macdonald à 61 ans,2021-09-14,4,https://www.journaldemontreal.com/2021/09/14/deces-de-lhumoriste-norm-macdonald-a-61-ans-1,2021-09-18 16:00:53,local
Montréal_V2,décès OR mort,15,Le Journal de Québec,Une collision sur la 298 fait un mort,2021-09-12,6,https://www.journaldequebec.com/2021/09/11/face-a-face-mortel-a-saint-donat-1,2021-09-18 16:00:54,local
Montréal_V2,décès OR mort,16,NecrologieCanada,Marie-Christine Lanctôt 1961 2021,2021-09-18,0,https://necrocanada.com/deces-2021/marie-christine-lanctot-1961-2021/,2021-09-18 16:00:55,local
Montréal_V2,décès OR mort,17,Le Journal de Québec,Des produits dopants impliqués dans le décès d'un jeune Saguenéen,2021-08-31,18,https://www.journaldequebec.com/2021/08/31/des-produits-dopants-impliques-dans-le-deces-dun-jeune-sagueneen-1,2021-09-18 16:00:55,local
Montréal_V2,décès OR mort,18,NecrologieCanada,Gilles Goyette 1955 2021 (66 ans),2021-09-18,0,https://necrocanada.com/deces-2021/gilles-goyette-1955-2021-66-ans/,2021-09-18 16:00:55,local
Montréal_V2,décès OR mort,19,NecrologieCanada,Claude Charlebois 2021,2021-09-18,0,https://necrocanada.com/deces-2021/claude-charlebois-2021/,2021-09-18 16:00:56,local
Montréal_V2,décès OR mort,20,Le Devoir,On leur a volé une bonne mort,2021-09-16,2,https://www.ledevoir.com/opinion/lettres/632679/on-leur-a-vole-une-bonne-mort,2021-09-18 16:00:56,local
Montréal_V2,décès OR mort,21,La Presse,"Bilan de la COVID-19 | 785 nouveaux cas, un décès",2021-09-15,3,https://www.lapresse.ca/covid-19/2021-09-15/bilan-de-la-covid-19/785-nouveaux-cas-un-deces.php,2021-09-18 16:00:56,local
Montréal_V2,décès OR mort,22,NecrologieCanada,Bernard Deslauriers 16 septembre,2021-09-18,0,https://necrocanada.com/deces-2021/bernard-deslauriers-16-septembre/,2021-09-18 16:00:56,local
Montréal_V2,décès OR mort,23,NecrologieCanada,BOISVERT Ernest 19392021,2021-09-18,0,https://necrocanada.com/deces-2021/boisvert-ernest-19392021/,2021-09-18 16:00:56,local
Montréal_V2,décès OR mort,24,TVA Nouvelles,Décès d'un ado écrasé: des caméras 360° recommandées dans le autobus scolaires,2021-09-09,9,https://www.tvanouvelles.ca/2021/09/09/deces-dun-ado-ecrase-des-cameras-360-recommandees-dans-le-autobus-scolaires,2021-09-18 16:00:56,local
Montréal_V2,décès OR mort,25,TVA Nouvelles,633 nouveaux cas et 7 décès,2021-09-14,4,https://www.tvanouvelles.ca/2021/09/14/633-nouveaux-cas-et-7-deces,2021-09-18 16:00:57,local
Montréal_V2,incendie,1,Le Journal de Montréal,[PHOTOS] Mont-Saint-Hilaire: un incendie suspect détruit un ancien motel qui devait être démoli,2021-09-18,0,https://www.journaldemontreal.com/2021/09/18/photos-mont-saint-hilaire-un-incendie-suspect-detruit-un-ancien-motel-qui-devait-etre-demoli,2021-09-18 16:01:05,local
Montréal_V2,incendie,2,TVA Nouvelles,Montréal-Nord: incendie criminel dans un bâtiment résidentiel et commercial,2021-09-17,1,https://www.tvanouvelles.ca/2021/09/17/montreal-nord-incendie-criminel-dans-un-batiment-residentiel-et-commercial-1,2021-09-18 16:01:05,local
Montréal_V2,incendie,3,Le Journal de Montréal,Les pompiers californiens ont bon espoir de sauver les séquoias géants des incendies,2021-09-18,0,https://www.journaldemontreal.com/2021/09/17/les-pompiers-californiens-ont-bon-espoir-de-sauver-les-sequoias-geants-des-incendies-1,2021-09-18 16:01:05,local
Montréal_V2,incendie,4,La Presse,N'arrosez pas cet incendie | La Presse,2021-09-15,3,https://www.lapresse.ca/actualites/chroniques/2021-09-15/n-arrosez-pas-cet-incendie.php,2021-09-18 16:01:06,local
Montréal_V2,incendie,5,Le Nouvelliste - Groupe Capitales Médias,Une maison lourdement endommagée par un incendie à Trois-Rivières,2021-09-17,1,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/une-maison-lourdement-endommagee-par-un-incendie-a-trois-rivieres-30950ca596d90c0380b05ea1ff2a2b51,2021-09-18 16:01:06,local
Montréal_V2,incendie,6,Le Courrier Sud,Un incendie détruit une maison à Saint-Wenceslas,2021-09-15,3,https://www.lecourriersud.com/un-incendie-detruit-une-maison-a-saint-wenceslas/,2021-09-18 16:01:06,local
Montréal_V2,incendie,7,Le Journal de Québec,Incendie à Saint-Augustin-de-Desmaures: une planche gyroscopique en cause,2021-09-14,4,https://www.journaldequebec.com/2021/09/14/incendie-a-saint-augustin-de-desmaures-une-planche-gyroscopique-en-cause,2021-09-18 16:01:06,local
Montréal_V2,incendie,8,Le Journal de Québec,[PHOTOS] Vanier: un incendie causé par un article de fumeur,2021-09-10,8,https://www.journaldequebec.com/2021/09/10/vanier--un-incendie-cause-par-un-article-de-fumeur,2021-09-18 16:01:06,local
Montréal_V2,incendie,9,CIMT-CHAU,Incendie dans un immeuble à logements de Témiscouata-sur-le-Lac,2021-09-15,3,https://cimtchau.ca/nouvelles/incendie-dans-un-immeuble-a-logements-de-temiscouata-sur-le-lac/,2021-09-18 16:01:07,local
Montréal_V2,incendie,10,Le Quotidien - Groupe Capitales Médias,Incendie dans un immeuble à logements de Chicoutimi,2021-09-18,0,https://www.lequotidien.com/actualites/incendie-dans-un-immeuble-a-logements-de-chicoutimi-16b08e7f7f69543ade7e415b5e0761f6,2021-09-18 16:01:07,local
Montréal_V2,incendie,11,L'Express - Drummondville,Incendie dans un triplex de la rue Saint-Lucien - L'Express,2021-09-13,5,https://www.journalexpress.ca/2021/09/14/incendie-dans-un-triplex-de-la-rue-saint-lucien/,2021-09-18 16:01:07,local
Montréal_V2,incendie,12,ICI.Radio-Canada.ca,Incendie et évacuations à Brossard,2021-09-14,4,https://ici.radio-canada.ca/nouvelle/1823974/incendie-maisons-rangee-brossard,2021-09-18 16:01:07,local
Montréal_V2,incendie,13,Zone911,Est-ce qu'une trottinette électrique en cause dans un incendie à Québec?,2021-09-18,0,https://zone911.com/incendies/31484-est-ce-qu-une-trottinette-electrique-en-cause-dans-un-incendie-a-quebec,2021-09-18 16:01:07,local
Montréal_V2,incendie,14,Le Journal de Québec,Enquête policière sur un incendie suspect dans Limoilou,2021-09-08,10,https://www.journaldequebec.com/2021/09/08/enquete-policiere-sur-un-incendie-suspect-dans-limoilou,2021-09-18 16:01:08,local
Montréal_V2,incendie,15,La Presse,Laval | Une fusillade fait deux blessés et déclenche un incendie,2021-09-15,3,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-09-15/laval/une-fusillade-fait-deux-blesses-et-declenche-un-incendie.php,2021-09-18 16:01:08,local
Montréal_V2,incendie,16,Le Journal de Québec,Nouvelle-Écosse: une famille de six décimée par un incendie,2021-09-13,5,https://www.journaldequebec.com/2021/09/13/nouvelle-ecosse-une-famille-de-six-decimee-par-un-incendie,2021-09-18 16:01:08,local
Montréal_V2,incendie,17,Le Reflet du Lac,Un incendie éclate chez Magotteaux à Magog,2021-08-25,24,https://www.lerefletdulac.com/2021/08/25/un-incendie-eclate-chez-magotteaux-a-magog/,2021-09-18 16:01:09,local
Montréal_V2,incendie,18,Le Journal de Montréal,[PHOTOS] Des condos ravagés par un incendie à Brossard,2021-09-14,4,https://www.journaldemontreal.com/2021/09/14/photos-des-condos-ravages-par-un-incendie-a-brossard,2021-09-18 16:01:09,local
Montréal_V2,incendie,19,TVA Nouvelles,Un bâtiment historique ravagé par un incendie,2021-08-24,25,https://www.tvanouvelles.ca/2021/08/24/terrebonne-des-dizaines-de-pompiers-combattent-un-violent-incendie-a-lusine-moody-1,2021-09-18 16:01:09,local
Montréal_V2,incendie,20,Le Journal de Québec,Incendie criminel à Lévis: témoins recherchés | JDQ,2021-09-10,8,https://www.journaldequebec.com/2021/09/10/incendie-criminel-a-levis--temoins-recherches,2021-09-18 16:01:10,local
Montréal_V2,incendie,21,Zone911,Incendie majeur dans un vieux motel des années 1960 à Saint-Hilaire,2021-09-18,0,https://zone911.com/incendies/31483-incendie-majeur-dans-un-vieux-motel-des-annees-1960-a-saint-hilaire,2021-09-18 16:01:10,local
Montréal_V2,incendie,22,La Nouvelle Union,Saints-Martyrs-Canadiens : un incendie détruit une résidence,2021-09-13,5,https://www.lanouvelle.net/2021/09/12/saints-maryrs-canadiens-un-incendie-detruit-une-residence/,2021-09-18 16:01:10,local
Montréal_V2,incendie,23,Le Journal de Montréal,"Espagne: l'incendie près de Malaga toujours en cours, nouvelles évacuations",2021-09-12,6,https://www.journaldemontreal.com/2021/09/12/espagne-lincendie-pres-de-malaga-toujours-en-cours-nouvelles-evacuations,2021-09-18 16:01:10,local
Montréal_V2,incendie,24,Le Journal de Montréal,Saint-Félix-de-Valois: une pizzeria ravagée par un incendie suspect,2021-08-31,18,https://www.journaldemontreal.com/2021/08/31/saint-felix-de-valois-une-pizzeria-ravagee-par-un-incendie-suspect,2021-09-18 16:01:10,local
Montréal_V2,incendie,25,Le Journal de Montréal,Montréal: incendie suspect dans Hochelaga | JDM,2021-08-27,22,https://www.journaldemontreal.com/2021/08/27/montreal-incendie-suspect-dans-hochelaga,2021-09-18 16:01:11,local
Montréal_V2,police OR Sûreté,1,La Presse,Madrid | La police prise de court par une fête de 25 000 étudiants,2021-09-18,0,https://www.lapresse.ca/international/europe/2021-09-18/madrid/la-police-prise-de-court-par-une-fete-de-25-000-etudiants.php,2021-09-18 16:01:20,local
Montréal_V2,police OR Sûreté,2,Le Reflet du Lac,Mario Leblanc est le nouveau chef de police,2021-09-17,1,https://www.lerefletdulac.com/2021/09/17/mario-leblanc-est-le-nouveau-chef-de-police/,2021-09-18 16:01:20,local
Montréal_V2,police OR Sûreté,3,ICI.Radio-Canada.ca,"Avec la fin du rodage du passeport vaccinal, la police reprend ses contrôles",2021-09-17,1,https://ici.radio-canada.ca/nouvelle/1824981/police-passeport-vaccinal-mesure-sanitaire-covid-pandemie,2021-09-18 16:01:20,local
Montréal_V2,police OR Sûreté,4,Le Reflet,Une autopatrouille de police impliquée dans une collision à La Prairie,2021-09-17,1,https://www.lereflet.qc.ca/Une-autopatrouille-de-police-impliquee-dans-une-collision/,2021-09-18 16:01:20,local
Montréal_V2,police OR Sûreté,5,Le Journal de Québec,Coups de feu: la police croit avoir limité l'escalade de violence à Québec,2021-09-16,2,https://www.journaldequebec.com/2021/09/16/la-police-croit-avoir-evite-lescalade-de-violence,2021-09-18 16:01:21,local
Montréal_V2,police OR Sûreté,6,ICI.Radio-Canada.ca,Enlèvement de Faqir Ali : la police retrouve des véhicules et cherche 3 suspects,2021-09-17,1,https://ici.radio-canada.ca/nouvelle/1825067/enlevement-faqir-ali-suspects-vehicules-hamilton-police,2021-09-18 16:01:21,local
Montréal_V2,police OR Sûreté,7,ICI.Radio-Canada.ca,L'APNQL exige de Québec un meilleur appui à la police autochtone,2021-09-16,2,https://ici.radio-canada.ca/espaces-autochtones/1824790/lapnql-exige-de-quebec-un-meilleur-appui-a-la-police-autochtone,2021-09-18 16:01:21,local
Montréal_V2,police OR Sûreté,8,Le Journal de Québec,Vaste opération policière au Québec pour assurer le respect du passeport vaccinal,2021-09-17,1,https://www.journaldequebec.com/2021/09/17/vaste-operation-policiere-au-quebec-pour-assurer-le-respect-du-passeport-vaccinal,2021-09-18 16:01:21,local
