Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie
Chibougamau ,accident,25,ICI.Radio-Canada.ca,Un motocycliste blessé sérieusement dans une collision à Sept-Îles,2020-07-03,359,https://ici.radio-canada.ca/nouvelle/1717167/accident-moto-pick-up-sept-iles-blesse,2021-06-27 16:03:38
Chibougamau ,décès OR mort,1,Le Quotidien - Groupe Capitales Médias,Deux lynx s'offrent en spectacle sur la 167 près de Chibougamau [VIDÉO],2020-11-07,232,https://www.lequotidien.com/actualites/deux-lynx-soffrent-en-spectacle-sur-la-167-pres-de-chibougamau-video-80c1dba774ab8e6dc2aafa63ab264271,2021-06-27 16:04:15
Chibougamau ,décès OR mort,2,Le Quotidien - Groupe Capitales Médias,Face-à-face dans le parc de Chibougamau: le conducteur acquitté,2021-02-02,145,https://www.lequotidien.com/actualites/justice-et-faits-divers/face-a-face-dans-le-parc-de-chibougamau-le-conducteur-acquitte-1bd76a8cf0e30e61b8b3ae75f0b62346,2021-06-27 16:04:15
Chibougamau ,décès OR mort,3,La Sentinelle et le Jamésien,Un Chibougamois accusé d'avoir menacé le premier ministre,2021-03-10,109,https://www.lasentinelle.ca/menace-de-mort-envers-le-pm-un-chibougamois-devant-la-justice/,2021-06-27 16:04:15
Chibougamau ,décès OR mort,4,ICI.Radio-Canada.ca,Un mort dans un accident entre deux camions près de Chibougamau,,,https://ici.radio-canada.ca/nouvelle/1066340/un-mort-dans-un-accident-entre-deux-camions-pres-de-chibougamau,2021-06-27 16:04:15
Chibougamau ,décès OR mort,5,ICI.Radio-Canada.ca,Un homme de Chambord perd la vie dans un accident sur la route d'Obedjiwan,2020-12-03,206,https://ici.radio-canada.ca/nouvelle/1754174/accident-mortel-parc-chibougamau,2021-06-27 16:04:15
Chibougamau ,décès OR mort,6,ICI.Radio-Canada.ca,Près de 132 M$ pour les infrastructures de transport du Nord-du-Québec,2021-05-01,57,https://ici.radio-canada.ca/nouvelle/1789579/investissement-transport-route-aeroport-nord-quebec,2021-06-27 16:04:16
Chibougamau ,décès OR mort,7,La Presse,"Le suicide de la Dre Dion est un signal d'alarme, selon son mari",2021-01-13,165,https://www.lapresse.ca/covid-19/2021-01-13/le-suicide-de-la-dre-dion-est-un-signal-d-alarme-selon-son-mari.php,2021-06-27 16:04:16
Chibougamau ,décès OR mort,8,NecrologieCanada,LACHANCE Rejeanne 1941 2021,2021-04-24,64,https://necrocanada.com/deces-2021/lachance-rejeanne-1941-2021/,2021-06-27 16:04:16
Chibougamau ,décès OR mort,9,NecrologieCanada,Mme Chantale TALBOT Décédée le 18 février 2021 à l’âge de 54 ans,2021-02-21,126,https://necrocanada.com/deces-2021/mme-chantale-talbot-decedee-le-18-fevrier-2021a-lage-de-54-ans/,2021-06-27 16:04:16
Chibougamau ,décès OR mort,10,NecrologieCanada,BLANCHETTE Linda 18 avril 2021,2021-04-21,67,https://necrocanada.com/deces-2021/blanchette-linda-18-avril-2021/,2021-06-27 16:04:16
Chibougamau ,décès OR mort,11,TVA Nouvelles,Emporté par sa plus grande passion,,,https://www.tvanouvelles.ca/2018/10/09/emporte-par-sa-plus-grande-passion-1,2021-06-27 16:04:17
Chibougamau ,décès OR mort,12,Le Journal de Montréal,COVID-19: Chapais et Chibougamau dans le rouge dès lundi,2020-11-20,219,https://www.journaldemontreal.com/2020/11/20/covid-19-chapais-et-chibougamau-dans-le-rouge-des-lundi,2021-06-27 16:04:17
Chibougamau ,décès OR mort,13,La Sentinelle et le Jamésien,Le corps inanimé d'un homme retrouvé près de son véhicule,,,https://www.lasentinelle.ca/le-corps-dun-homme-retrouve-inanime-sur-la-route-du-nord/,2021-06-27 16:04:17
Chibougamau ,décès OR mort,14,ICI.Radio-Canada.ca,"La pandémie, une remarquable leçon d'humilité | Coronavirus",2020-12-27,182,https://ici.radio-canada.ca/nouvelle/1754081/pandemie-nature-peur-mort-vieux-serge-bouchard-anthropologie,2021-06-27 16:04:17
