Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL
Blainville ,accident,1,Le Journal de Montréal,Laurentides: un jeune de 15 ans perd la vie après un accident de VTT,2021-05-07,26,https://www.journaldemontreal.com/2021/05/07/laurentides-un-jeune-de-15-ans-perd-la-vie-apres-un-accident-de-vtt
Blainville ,accident,2,TVA Nouvelles,Une femme appelle à la prudence après avoir frôlé la mort en quad,2021-05-08,25,https://www.tvanouvelles.ca/2021/05/08/une-femme-appelle-a-la-prudence-apres-avoir-frole-la-mort-en-quad-1
Blainville ,accident,3,La Presse,"Mort de Jerry Trempe | « C'est magique, ce qu'il faisait »",2021-05-31,2,https://www.lapresse.ca/sports/hockey/2021-05-31/mort-de-jerry-trempe/c-est-magique-ce-qu-il-faisait.php
Blainville ,accident,4,ICI.Radio-Canada.ca,Un motoneigiste de Blainville meurt dans un accident à Saint-Alexis-des-Monts,2021-01-23,130,https://ici.radio-canada.ca/nouvelle/1765400/motoneigiste-gravement-blesse-saint-alexis-des-monts
Blainville ,accident,5,Est Républicain,Vennezey | Collision entre deux voitures : un blessé léger,2021-06-01,1,https://www.estrepublicain.fr/faits-divers-justice/2021/06/01/accident-entre-deux-voitures-un-blesse-leger
Blainville ,accident,6,Le Liberté Caen - Bonhomme Libre,Accident entre une voiture et un poids lourd près de Caen : une femme de 32 ans en urgence absolue,2021-02-02,120,https://actu.fr/normandie/blainville-sur-orne_14076/accident-entre-une-voiture-et-un-poids-lourd-pres-de-caen-une-femme-de-32-ans-en-urgence-absolue_39160441.html
Blainville ,accident,7,L'Écho de Maskinongé,Accident mortel en motoneige: l'identité de la victime dévoilée,2021-01-25,128,https://www.lechodemaskinonge.com/faits-divers/accident-mortel-en-motoneige-lidentite-de-la-victime-devoilee/
Blainville ,accident,8,LeLézard.com,Trois appels 9-1-1 se sont démarqués en 2020,2021-05-25,8,https://www.lelezard.com/communique-19824119.html
Blainville ,accident,9,la Manche Libre,Agon-Coutainville. Trois femmes blessées dans un accident près du collège,2020-12-17,167,https://www.lamanchelibre.fr/actualite-923241-agon-coutainville-trois-femmes-blessees-dans-un-accident-pres-du-college
Blainville ,accident,10,TopoLocal,Un piéton de 75 ans meurt dans le stationnement de L'Aubainerie à Saint-Jérôme,2020-09-03,272,https://www.topolocal.ca/2020/09/03/grave-accident-dans-le-stationnement-de-aubainerie-a-saint-jerome/
Blainville ,décès OR mort,1,TVA Nouvelles,Une femme appelle à la prudence après avoir frôlé la mort en quad,2021-05-08,25,https://www.tvanouvelles.ca/2021/05/08/une-femme-appelle-a-la-prudence-apres-avoir-frole-la-mort-en-quad-1
Blainville ,décès OR mort,2,La Presse,"Mort de Jerry Trempe | « C'est magique, ce qu'il faisait »",2021-05-31,2,https://www.lapresse.ca/sports/hockey/2021-05-31/mort-de-jerry-trempe/c-est-magique-ce-qu-il-faisait.php
Blainville ,décès OR mort,3,L'Éveil et La Concorde,COVID-19: des données encourageantes dans les Basses-Laurentides - Journal L'Éveil de Saint-Eustache,2021-06-02,0,https://www.leveil.com/actualites/covid-19-des-donnees-encourageantes-dans-les-basses-laurentides
Blainville ,décès OR mort,4,NecrologieCanada,BRÛLOTTE nee COUTURE Gilberte 19272021,2021-06-01,1,https://necrocanada.com/deces-2021/brulotte-nee-couture-gilberte-19272021/
Blainville ,décès OR mort,5,Nord Info et Voix des Mille-Iles,COVID-19: net recul dans Deux-Montagnes; stabilité dans Thérèse-De Blainville et Mirabel,2021-05-25,8,https://www.nordinfo.com/actualites/covid-19-net-recul-dans-deux-montagnes-stabilite-dans-therese-de-blainville-et-mirabel/
Blainville ,décès OR mort,6,Est Républicain,Blainville-sur-l’Eau | Nécrologie | Décès de Gilbert Volff,2021-05-28,5,https://www.estrepublicain.fr/societe/2021/05/28/deces-de-gilbert-volff
Blainville ,décès OR mort,7,NecrologieCanada,Yvonne Philibert 2021,2021-05-31,2,https://necrocanada.com/deces-2021/yvonne-philibert-2021/
Blainville ,décès OR mort,8,Le Journal de Montréal,Laurentides: un jeune de 15 ans perd la vie après un accident de VTT,2021-05-07,26,https://www.journaldemontreal.com/2021/05/07/laurentides-un-jeune-de-15-ans-perd-la-vie-apres-un-accident-de-vtt
Blainville ,décès OR mort,9,NecrologieCanada,ROBILLARD Gabriel 20062021,2021-05-10,23,https://necrocanada.com/deces-2021/robillard-gabriel-20062021/
Blainville ,décès OR mort,10,NecrologieCanada,CARON Nicole 19472021,2021-05-22,11,https://necrocanada.com/deces-2021/caron-nicole-19472021/
Blainville ,incendie,1,Nord Info et Voix des Mille-Iles,Un incendie a mobilisé des pompiers durant presque 40 heures,2021-05-13,20,https://www.nordinfo.com/actualites/un-incendie-a-mobilise-des-pompiers-durant-presque-40-heures/
Blainville ,incendie,2,Nord Info et Voix des Mille-Iles,Un spectaculaire incendie touche la compagnie Commonwealth Plywood,2021-05-09,24,https://www.nordinfo.com/actualites/un-spectaculaire-incendie-touche-la-compagnie-commonwealth-plywood/
Blainville ,incendie,3,Le Journal de Montréal,Rosemère: un restaurant visé par un incendie criminel,2020-12-29,155,https://www.journaldemontreal.com/2020/12/29/rosemere-un-restaurant-vise-par-un-incendie-criminel
Blainville ,incendie,4,Le Journal de Montréal,[IMAGES] Incendie suspect d'une pizzeria à Boisbriand,2021-01-08,145,https://www.journaldemontreal.com/2021/01/08/images-incendie-suspect-dune-pizzeria-a-boisbriand
Blainville ,incendie,5,Le Journal de Montréal,Deux personnes subissent des brûlures dans un incendie à Rosemère,2021-02-12,110,https://www.journaldemontreal.com/2021/02/12/deux-personnes-subissent-des-brulures-dans-un-incendie-a-rosemere
Blainville ,incendie,6,Le Journal de Montréal,Coups de feu tirés à Blanville: les suspects appréhendés par les policiers,2021-04-18,45,https://www.journaldemontreal.com/2021/04/17/des-coups-de-feu-tires-a-blainville
