Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type de mot-clés
Montréal_V2,police OR Sûreté,5,Sûreté du Québec,Beauce : Arrestation du suspect recherché - Sûreté du Québec,2021-08-19,0,https://www.sq.gouv.qc.ca/communiques/beauce-arrestation-du-suspect-recherche/,2021-08-19 16:01:28,local
Montréal_V2,police OR Sûreté,6,Le Journal de Montréal,Violence par armes à feu : six individus arrêtés par la police de Montréal,2021-08-18,1,https://www.journaldemontreal.com/2021/08/18/six-personnes-arretees-en-lien-avec-une-fusillade-villeray-saint-michel-parc-extension-1,2021-08-19 16:01:29,local
Montréal_V2,police OR Sûreté,7,Le Devoir,Des travailleurs sociaux avant la police à Montréal pour «désamorcer» les crises,2021-08-18,1,https://www.ledevoir.com/politique/montreal/625809/des-travailleurs-sociaux-avant-la-police-a-montreal-pour-desamorcer-les-crises,2021-08-19 16:01:29,local
Montréal_V2,police OR Sûreté,8,Le Journal de Montréal,Violence armée à Montréal: la police arrête un homme de 28 ans,2021-08-13,6,https://www.journaldemontreal.com/2021/08/13/violence-armee-a-montreal-la-police-arrete-un-homme-de-28-ans-1,2021-08-19 16:01:29,local
Montréal_V2,police OR Sûreté,9,Mon Thetford,Il frappe un policier dans un poste de police Accueil,2021-08-17,2,https://monthetford.com/il-frappe-un-policier-dans-un-poste-de-police/,2021-08-19 16:01:29,local
Montréal_V2,police OR Sûreté,10,Sûreté du Québec,Patrouiller dans le Grand Nord - Sûreté du Québec,2021-08-19,0,https://www.sq.gouv.qc.ca/nouvelles/patrouiller-dans-le-grand-nord/,2021-08-19 16:01:29,local
Montréal_V2,police OR Sûreté,11,La Presse,Les femmes de l'ombre dans la police,2021-08-15,4,https://www.lapresse.ca/societe/2021-08-15/les-femmes-de-l-ombre-dans-la-police.php,2021-08-19 16:01:30,local
Montréal_V2,police OR Sûreté,12,Le Journal Saint-François,Cambrioleur recherché par la police,2021-08-13,6,https://www.journalsaint-francois.ca/Cambrioleur-recherche-par-la-police/,2021-08-19 16:01:30,local
Montréal_V2,police OR Sûreté,13,Le Journal de Montréal,Ouverture d'une enquête fédérale sur la police de Phoenix,2021-08-05,14,https://www.journaldemontreal.com/2021/08/05/ouverture-dune-enquete-federale-sur-la-police-de-phoenix,2021-08-19 16:01:30,local
Montréal_V2,police OR Sûreté,14,La Presse,Russie | Des sympathisants de Navalny visés par la police après une fuite de données,2021-08-18,1,https://www.lapresse.ca/international/europe/2021-08-18/russie/des-sympathisants-de-navalny-vises-par-la-police-apres-une-fuite-de-donnees.php,2021-08-19 16:01:30,local
Montréal_V2,police OR Sûreté,15,Sûreté du Québec,Simon Chenard Rioux - Sûreté du Québec,2021-08-19,0,https://www.sq.gouv.qc.ca/disparus/simon-chenard-rioux/,2021-08-19 16:01:30,local
Montréal_V2,police OR Sûreté,16,Mon Joliette,Fraude : Le Service de police de Repentigny appelle à la prudence,2021-08-18,1,https://monjoliette.com/fraude-le-service-de-police-de-repentigny-appelle-a-la-prudence-2/,2021-08-19 16:01:31,local
Montréal_V2,police OR Sûreté,17,La Presse,Au-delà du travail de la police,2021-08-04,15,https://www.lapresse.ca/actualites/chroniques/2021-08-04/au-dela-du-travail-de-la-police.php,2021-08-19 16:01:31,local
Montréal_V2,police OR Sûreté,18,Le Journal de Québec,Les voitures bruyantes ciblées par la police sur Grande Allée,2021-07-31,19,https://www.journaldequebec.com/2021/07/31/les-voitures-bruyantes-ciblees-par-la-police-sur-grande-allee,2021-08-19 16:01:31,local
Montréal_V2,police OR Sûreté,19,Le Journal de Montréal,"La police tire des balles en caoutchouc et des gaz lacrymogènes à Bangkok, deux manifestants blessés",2021-08-13,6,https://www.journaldemontreal.com/2021/08/13/la-police-tire-des-balles-en-caoutchouc-et-des-gaz-lacrymogenes-a-bangkok-deux-manifestants-blesses,2021-08-19 16:01:31,local
Montréal_V2,police OR Sûreté,20,La Presse,Arrêté pour possession d'arme | Son offre de collaboration avec la police se retrouve sur les réseaux sociaux,2021-08-13,6,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-08-13/arrete-pour-possession-d-arme/son-offre-de-collaboration-avec-la-police-se-retrouve-sur-les-reseaux-sociaux.php,2021-08-19 16:01:32,local
Montréal_V2,police OR Sûreté,21,Courrier Laval,Poste de police de l'Ouest: un chantier de 60 M$,2021-08-05,14,https://courrierlaval.com/poste-de-police-de-louest-un-chantier-de-60-m/,2021-08-19 16:01:32,local
Montréal_V2,police OR Sûreté,22,Le Journal de Montréal,Italie: la police démantèle un réseau de vente de faux passeports sanitaires,2021-08-09,10,https://www.journaldemontreal.com/2021/08/09/italie--la-police-demantele-un-reseau-de-vente-de-faux-passeports-sanitaires,2021-08-19 16:01:32,local
Montréal_V2,police OR Sûreté,23,Le Journal de Montréal,Un homme abattu par la police en pleine rue à Repentigny,2021-08-01,18,https://www.journaldemontreal.com/2021/08/01/un-homme-atteint-mortellement-par-les-policiers-a-repentigny,2021-08-19 16:01:32,local
Montréal_V2,police OR Sûreté,24,Le Journal de Montréal,Un candidat pro-définancement de la police pour la mairie de Montréal-Nord,2021-08-11,8,https://www.journaldemontreal.com/2021/08/11/will-prosper-briguera-la-mairie-de-montreal-nord,2021-08-19 16:01:33,local
