Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type de mot-clés
Montréal_V2,police OR Sûreté,25,Le Journal de Montréal,«J'ai appelé pour de l'aide et on a tué mon fils»,2021-08-02,17,https://www.journaldemontreal.com/2021/08/02/la-famille-de-lhomme-abattu-par-les-policiers-de-repentigny-demande-des-explications,2021-08-19 16:01:33,local
Montréal_V2,Cégep,1,La Nouvelle Union,Les étudiants font leur rentrée au Cégep,2021-08-19,0,https://www.lanouvelle.net/2021/08/19/les-etudiants-font-leur-rentree-au-cegep/,2021-08-19 16:01:40,local
Montréal_V2,Cégep,2,La Nouvelle Union,"""Une grande année pour le Cégep""",2021-08-19,0,https://www.lanouvelle.net/2021/08/19/une-grande-annee-pour-le-cegep/,2021-08-19 16:01:40,local
Montréal_V2,Cégep,3,La Presse,Rentrée au cégep | Collaboration et aide psychologique demandées par la CSQ,2021-08-18,1,https://www.lapresse.ca/actualites/education/2021-08-18/rentree-au-cegep/collaboration-et-aide-psychologique-demandees-par-la-csq.php,2021-08-19 16:01:40,local
Montréal_V2,Cégep,4,Journal Accès,Fébrilité pour la rentrée au Cégep de Saint-Jérôme - Accès Laurentides,2021-08-17,2,https://www.journalacces.ca/febrilite-pour-la-rentree-au-cegep-de-saint-jerome/,2021-08-19 16:01:41,local
Montréal_V2,Cégep,5,Radio-Canada.ca,Blitz de vaccination dans les cégeps de Québec | Coronavirus,2021-08-19,0,https://ici.radio-canada.ca/nouvelle/1817592/vaccination-etudiants-cegeps-ciusss-capitale-nationale-rentree-scolaire-deux-doses-covid-19-quebec,2021-08-19 16:01:41,local
Montréal_V2,Cégep,6,La Presse,"La rentrée sera sécuritaire, assurent les cégeps de Montréal",2021-08-18,1,https://www.lapresse.ca/actualites/education/2021-08-18/la-rentree-sera-securitaire-assurent-les-cegeps-de-montreal.php,2021-08-19 16:01:41,local
Montréal_V2,Cégep,7,Le Journal Saint-François,Le Cégep de Valleyfield se dote d'une nouvelle image de marque,2021-08-18,1,https://www.journalsaint-francois.ca/Le-Cegep-de-Valleyfield-se-dote-dune-nouvelle-image-de-marque/,2021-08-19 16:01:41,local
Montréal_V2,Cégep,8,L'Express - Drummondville,Une rentrée scolaire en présentiel au Cégep de Drummondville - L'Express,2021-08-19,0,https://www.journalexpress.ca/2021/08/19/une-rentree-scolaire-en-presentiel-au-cegep-de-drummondville/,2021-08-19 16:01:41,local
Montréal_V2,Cégep,9,Info Dimanche,Une rentrée masquée au Cégep de Rivière-du-Loup | infodimanche.com,2021-08-19,0,https://www.infodimanche.com/actualites/actualite/434706/une-rentree-masquee-au-cegep-de-riviere-du-loup,2021-08-19 16:01:42,local
Montréal_V2,Cégep,10,Journal Le Manic,Pas suffisamment de deuxièmes doses chez les étudiants du cégep,2021-08-18,1,https://www.lemanic.ca/2021/08/18/pas-suffisamment-de-deuxiemes-doses-chez-les-etudiants-du-cegep/,2021-08-19 16:01:42,local
Montréal_V2,Cégep,11,Le Soleil - Groupe Capitales Médias,"Les cégeps revivent, les étudiants aussi [PHOTOS ET VIDÉO]",2021-08-18,1,https://www.lesoleil.com/actualite/covid-19/les-cegeps-revivent-les-etudiants-aussi-photos-et-video-441210a98fcf696d6ba1911dfe02c6f6,2021-08-19 16:01:42,local
Montréal_V2,Cégep,12,Journal Le Nord,Un cours en petite enfance rémunéré offert au Cégep,2021-08-17,2,https://www.journallenord.com/un-cours-en-petite-enfance-remunere-offert-au-cegep/,2021-08-19 16:01:42,local
Montréal_V2,Cégep,13,Granby Express,La clinique de vaccination mobile se déplace au Cégep de Granby,2021-08-19,0,https://www.granbyexpress.com/2021/08/19/la-clinique-de-vaccination-mobile-se-deplace-au-cegep-de-granby/,2021-08-19 16:01:42,local
Montréal_V2,Cégep,14,La Tribune - Groupe Capitales Médias,Une rentrée en présence au Cégep de Sherbrooke,2021-08-19,0,https://www.latribune.ca/ma-region/une-rentree-en-presence-au-cegep-de-sherbrooke-1edf94d04812de497b41e831e3aece1e,2021-08-19 16:01:43,local
Montréal_V2,Cégep,15,Info Dimanche,Le port du masque obligatoire au Cégep de Rivière-du-Loup | infodimanche.com,2021-08-17,2,https://www.infodimanche.com/actualites/actualite/434583/le-port-du-masque-obligatoire-au-cegep-de-riviere-du-loup,2021-08-19 16:01:43,local
Montréal_V2,Cégep,16,ICI.Radio-Canada.ca,Taux de vaccination de plus de 75 % au Cégep de Saint-Félicien,2021-08-18,1,https://ici.radio-canada.ca/nouvelle/1817539/cegep-st-felicien-hausse-taux-vaccination,2021-08-19 16:01:43,local
Montréal_V2,Cégep,17,Granby Express,Le grand retour des étudiants au Cégep de Granby,2021-08-18,1,https://www.granbyexpress.com/2021/08/18/le-grand-retour-des-etudiants-au-cegep-de-granby/,2021-08-19 16:01:43,local
Montréal_V2,Cégep,18,Le Quotidien - Groupe Capitales Médias,Le Cégep de Chicoutimi et Rosalie Vaillancourt s'allient pour sensibiliser,2021-08-18,1,https://www.lequotidien.com/actualites/le-cegep-de-chicoutimi-et-rosalie-vaillancourt-sallient-pour-sensibiliser-6362b3f940c5f66e0bc179f1b6fbc60e,2021-08-19 16:01:43,local
Montréal_V2,Cégep,19,Le Canada Français,Le vaccibus au Cégep lors de l'accueil des étudiants cette semaine,2021-08-16,3,https://www.canadafrancais.com/2021/08/16/le-vaccibus-au-cegep-lors-de-laccueil-des-etudiants-cette-semaine/,2021-08-19 16:01:44,local
Montréal_V2,Cégep,20,CIMT-CHAU,"Vaccination obligatoire en santé, masque au cégep, les annonces de Québec soulèvent des questions",2021-08-18,1,https://cimtchau.ca/nouvelles/vaccination-obligatoire-en-sante-masque-au-cegep-les-annonces-de-quebec-soulevent-des-questions/,2021-08-19 16:01:44,local
Montréal_V2,Cégep,21,Mon Victo,Augmentation considérable des étudiants étrangers au Cégep Accueil,2021-08-16,3,https://monvicto.com/augmentation-considerable-des-etudiants-etrangers-au-cegep/,2021-08-19 16:01:44,local
Montréal_V2,Cégep,22,Le Devoir,Une rentrée «normale» dans les cégeps et universités du Québec,2021-08-07,12,https://www.ledevoir.com/societe/sante/623232/une-rentree-normale-dans-les-cegeps-et-universites,2021-08-19 16:01:44,local
Montréal_V2,Cégep,23,Le Journal de Québec,Tournée des cégeps pour le Vacc-I-Express,2021-08-16,3,https://www.journaldequebec.com/2021/08/16/tournee-des-cegeps--pour-le-vacc-i-express-1,2021-08-19 16:01:45,local
Montréal_V2,Cégep,24,L'Avantage Rimouski,Cégep de Rimouski : un retour progressif vers la normalité,2021-08-17,2,https://www.lavantage.qc.ca/article/2021/08/17/cegep-de-rimouski-un-retour-progressif-vers-la-normalite,2021-08-19 16:01:45,local
