Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL
Alma ,accident,1,La Presse,Quatre blessés dans un accident à Alma,2020-07-26,311,https://www.lapresse.ca/actualites/justice-et-faits-divers/2020-07-26/quatre-blesses-dans-un-accident-a-alma.php
Alma ,accident,2,Le Quotidien - Groupe Capitales Médias,Grave accident entre un quadriporteur et une voiture à Alma,2020-10-31,214,https://www.lequotidien.com/actualites/grave-accident-entre-un-quadriporteur-et-une-voiture-a-alma-57d24ee6241e495a2ebc70c0e8b61c76
Alma ,accident,3,Le Quotidien - Groupe Capitales Médias,Accident impliquant un autobus à Alma | Justice et faits divers | Actualités,2020-09-18,257,https://www.lequotidien.com/actualites/justice-et-faits-divers/accident-impliquant-un-autobus-a-alma-e2d47badb77961f6a5f779e46d79b186
Alma ,accident,4,20 Minutes,"L'accident de Lady Di, ils n'y croient toujours pas",2021-05-23,10,https://www.20minutes.fr/societe/3047171-20210523-accident-lady-di-croient-toujours
Alma ,accident,5,Journal Le Lac St-Jean,Accident grave de motoneige à l'Ascension,2021-02-13,109,https://lelacstjean.com/actualite/accident-grave-de-motoneige-a-lascension/
Alma ,accident,6,Acadie Nouvelle,Un ado de 16 ans perd la vie dans un accident sur une ferme,2020-10-11,234,https://www.acadienouvelle.com/actualites/2020/10/11/un-ado-de-16-ans-perd-la-vie-dans-une-accident-sur-une-ferme/
Alma ,accident,7,Le Droit - Groupe Capitales Médias,Une sortie de route cause des pannes électriques à Alma [PHOTOS],2020-10-04,241,https://www.ledroit.com/actualites/le-fil-groupe-capitales-medias/une-sortie-de-route-cause-des-pannes-electriques-a-alma-photos-6a87504d3f7abfe011a893263e70ca98
Alma ,accident,8,Le Quotidien - Groupe Capitales Médias,Un mort et une blessée dans un accident à Shipshaw,2020-11-12,202,https://www.lequotidien.com/actualites/un-mort-et-une-blessee-dans-un-accident-a-shipshaw-d8d4a713225730bb28b273f340e0f148
Alma ,accident,9,Le Journal de Québec,Collision mortelle avec un autobus scolaire: le jeune conducteur venait de fêter ses 22 ans,,,https://www.journaldequebec.com/2020/01/13/accident-impliquant-un-autobus-scolaire-a-alma
Alma ,accident,10,Le Quotidien - Groupe Capitales Médias,Accident mortel à Saint-Prime: l'identité de la victime dévoilée,2021-04-08,55,https://www.lequotidien.com/actualites/justice-et-faits-divers/accident-mortel-a-saint-prime-lidentite-de-la-victime-devoilee-c5badaec64b9f50ab8ac19244b47fdeb
