Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL
Alma ,Centre de services scolaire OR commission scolaire,3,La Voix de l'est - Groupe Capitales Médias,Recycler les masques | Actualités,2021-05-15,17,https://www.lavoixdelest.ca/actualites/recycler-les-masques-a67612da42a4aaccc0d6fcb958470d2e
Alma ,Centre de services scolaire OR commission scolaire,4,ICI.Radio-Canada.ca,Du plomb dans l'eau de nombreuses écoles de la région,2020-12-09,174,https://ici.radio-canada.ca/nouvelle/1755744/plomb-eau-ecoles-saguenay-lac-saint-jean
Alma ,CISSS OR CIUSSS,1,ICI.Radio-Canada.ca,Le centre de prélèvements d'Alma déménage,2021-05-26,6,https://ici.radio-canada.ca/nouvelle/1796187/centre-alma-demenagement-prise-sang-prelevements
Alma ,CISSS OR CIUSSS,2,ICI.Radio-Canada.ca,Interruption du service d'hémato-oncologie cet été à Dolbeau-Mistassini,2021-05-27,5,https://ici.radio-canada.ca/nouvelle/1796128/hopital-soins-cancer-patients-ciusss-penurie
Alma ,CISSS OR CIUSSS,3,ICI.Radio-Canada.ca,Une vingtaine de cas et deux résidents hospitalisés au Manoir Champlain | Coronavirus,2021-05-28,4,https://ici.radio-canada.ca/nouvelle/1796921/eclosion-covid-manoir-champlain
Alma ,CISSS OR CIUSSS,4,NecrologieCanada,Simard Edmond 28 mai 2021,2021-06-01,0,https://necrocanada.com/deces-2021/simard-edmond-28-mai-2021/
Alma ,Maire OR Mairesse,1,Le Journal de Québec,Le maire d'Alma ne se représentera pas,2021-05-18,14,https://www.journaldequebec.com/2021/05/18/le-maire-dalma-ne-se-representera-pas-1
Alma ,Maire OR Mairesse,2,ICI.Radio-Canada.ca,Une capitainerie 10 fois plus grande à Dam-en-Terre,2021-05-28,4,https://ici.radio-canada.ca/nouvelle/1796914/bateaux-lac-saint-jean
Alma ,Maire OR Mairesse,3,Le Quotidien - Groupe Capitales Médias,Une première candidature officialisée pour la mairie d'Alma,2021-05-26,6,https://www.lequotidien.com/actualites/une-premiere-candidature-officialisee-pour-la-mairie-dalma-1c4b3c4ffd1adf47505e1c242f1ae80e
Alma ,Maire OR Mairesse,4,Journal Le Lac St-Jean,Parc industriel du secteur sud : Alma se retire du projet,2021-05-04,28,https://lelacstjean.com/actualite/parc-industriel-du-secteur-sud-alma-se-retire-du-projet/
Alma ,Candidat,1,Le Quotidien - Groupe Capitales Médias,Alma: un troisième candidat dans Delisle-Saint-Coeur-de-Marie,2021-06-01,0,https://www.lequotidien.com/actualites/alma-un-troisieme-candidat-dans-delisle-saint-coeur-de-marie-6a960b0c3448c163e198973bfa092e0d
Alma ,Candidat,2,Le Quotidien - Groupe Capitales Médias,Une première candidature officialisée pour la mairie d'Alma,2021-05-26,6,https://www.lequotidien.com/actualites/une-premiere-candidature-officialisee-pour-la-mairie-dalma-1c4b3c4ffd1adf47505e1c242f1ae80e
Alma ,Candidat,3,Journal Le Lac St-Jean,Alma: Chantale Fortin candidate dans le district 1,2021-05-08,24,https://lelacstjean.com/actualite/alma-chantale-fortin-candidate-dans-le-district-1/
Alma ,Candidat,4,Courrier international,Élections au Mexique : émotion après l'assassinat par balles d'une candidate,2021-05-26,6,https://www.courrierinternational.com/article/violences-politiques-elections-au-mexique-emotion-apres-lassassinat-par-balles-dune
Alma ,Travaux ET Routiers,1,Le Quotidien - Groupe Capitales Médias,Des travaux routiers aux quatre coins de la région,2021-05-28,4,https://www.lequotidien.com/actualites/des-travaux-routiers-aux-quatre-coins-de-la-region-2077a7a0e77e137631ed89e7986ec976
Alma ,Travaux ET Routiers,2,Journal Le Lac St-Jean,Investissements routiers: 54 M$ pour la MRC de Lac-Saint-Jean-Est,2021-04-18,44,https://lelacstjean.com/actualite/investissements-routiers-54-m-pour-la-mrc-de-lac-saint-jean-est/
