Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL
Baie-Saint-Paul ,accident,1,ICI.Radio-Canada.ca,Climat de travail « toxique » dénoncé à la Ville de Baie-Saint-Paul,2021-03-04,90,https://ici.radio-canada.ca/nouvelle/1774468/climat-travail-travaux-publics-ville-baie-saint-paul
Baie-Saint-Paul ,accident,2,Zone911,Accident de moto mortel dans Charlevoix - Actualités,2020-10-06,239,https://zone911.com/accidents/29859-accident-de-moto-mortel-dans-charlevoix
Baie-Saint-Paul ,accident,3,Le Journal de Québec,Accident de motoneige à Baie-Saint-Paul: l'enfant de 5 ans est hors de danger,,,https://www.journaldequebec.com/2019/12/22/accident-de-motoneige-un-enfant-de-cinq-ans-dans-un-etat-critique
Baie-Saint-Paul ,accident,4,Le Quotidien - Groupe Capitales Médias,Accident mortel à Saint-Félicien: la victime était un homme d'affaires bien connu,2021-02-04,118,https://www.lequotidien.com/actualites/justice-et-faits-divers/accident-mortel-a-saint-felicien-la-victime-etait-un-homme-daffaires-bien-connu-d6c5aafd695e8acb77a6d108fb89bc81
Baie-Saint-Paul ,accident,5,Le Quotidien - Groupe Capitales Médias,Collision entre un autobus scolaire et un camion à Chicoutimi,2021-03-10,84,https://www.lequotidien.com/actualites/justice-et-faits-divers/collision-entre-un-autobus-scolaire-et-un-camion-a-chicoutimi-d48b250e3d93d45588ea587f919840e5
Baie-Saint-Paul ,accident,6,Le Quotidien - Groupe Capitales Médias,Violent accident à Saint-Honoré: un homme de 61 ans perd la vie,2021-04-21,42,https://www.lequotidien.com/actualites/justice-et-faits-divers/violent-accident-a-saint-honore-un-homme-de-61-ans-perd-la-vie-77652fb4a841f8bb4e10e0c976f6d7e0
Baie-Saint-Paul ,accident,7,CIMT-CHAU,Accident mortel à Saint-Pascal : L'identité de la victime dévoilée,2020-12-29,155,https://cimtchau.ca/nouvelles/accident-mortel-a-saint-pascal-lidentite-de-la-victime-devoilee/
Baie-Saint-Paul ,accident,8,ICI.Radio-Canada.ca,Le maire de Baie-Saint-Paul tire sa révérence après 9 mandats,2021-01-18,135,https://ici.radio-canada.ca/nouvelle/1764130/maire-baie-saint-paul-tire-sa-reverence-apres-9-mandats-jean-fortin
Baie-Saint-Paul ,accident,9,ICI.Radio-Canada.ca,Couvre-feu : un travailleur essentiel reçoit un constat d'infraction de 1550 $ dans Charlevoix,2021-01-19,134,https://ici.radio-canada.ca/nouvelle/1763854/travailleur-essentiel-constat-infraction-baie-saint-paul-couvre-feu
Baie-Saint-Paul ,accident,10,Le Soleil - Groupe Capitales Médias,Délit de fuite mortel dans Charlevoix: le cauchemar quotidien d'une mère,,,https://www.lesoleil.com/actualite/delit-de-fuite-mortel-dans-charlevoix-le-cauchemar-quotidien-dune-mere-67a71d8b3c7789704e788caf62569a8d
Baie-Saint-Paul ,décès OR mort,1,NecrologieCanada,Sullivan Patrick 2021,2021-05-04,29,https://necrocanada.com/deces-2021/sullivanpatrick-2021/
Baie-Saint-Paul ,décès OR mort,2,Radio-Canada.ca,Sur la trace des enfants autochtones disparus,2021-05-25,8,https://ici.radio-canada.ca/espaces-autochtones/1795170/disparition-quebec-enfants-premieres-nations-morts-hopital
Baie-Saint-Paul ,décès OR mort,3,Le Journal de Québec,COVID-19 Plusieurs décès à Baie-Saint-Paul,2020-11-12,202,https://www.journaldequebec.com/2020/11/12/plusieurs-deces-a-baie-saint-paul
Baie-Saint-Paul ,décès OR mort,4,NecrologieCanada,Tremblay Marie-Blanche 2021,2021-05-19,14,https://necrocanada.com/deces-2021/tremblaymarie-blanche-2021/
Baie-Saint-Paul ,décès OR mort,5,NecrologieCanada,Bouchard Florida 2021,2021-05-11,22,https://necrocanada.com/deces-2021/bouchardflorida-2021/
Baie-Saint-Paul ,décès OR mort,6,NecrologieCanada,Tremblay Genevieve 2021,2021-05-20,13,https://necrocanada.com/deces-2021/tremblaygenevieve-2021/
Baie-Saint-Paul ,décès OR mort,7,Le Journal de Québec,Engouement pour la vaccination sans rendez-vous à l'Université Laval,2021-05-24,9,https://www.journaldequebec.com/2021/05/24/engouement-pour-la-vaccination-sans-rendez-vous-a-luniversite-laval-1
Baie-Saint-Paul ,décès OR mort,8,NecrologieCanada,Bouchard Gabrielle 2021,2021-05-17,16,https://necrocanada.com/deces-2021/bouchardgabrielle-2021/
Baie-Saint-Paul ,décès OR mort,9,ZINFOS974,"Près de 2.000 nouveaux cas de Dengue à La Réunion, un nouveau décès",2021-06-02,0,https://www.zinfos974.com/Pres-de-2-000-nouveaux-cas-de-Dengue-a-La-Reunion-un-nouveau-deces_a169891.html
