Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type de mot-clés
Montréal_V2,accident,1,ICI.Radio-Canada.ca,Deux blessés graves dans un accident à Saint-Raymond,2021-07-17,0,https://ici.radio-canada.ca/nouvelle/1809757/accident-saint-raymond-portneuf-auto,2021-07-17 16:00:10,local
Montréal_V2,accident,2,La Releve,Accident sur Taschereau : un homme de 22 ans perd la vie,2021-07-17,0,https://www.lareleve.qc.ca/2021/07/17/accident-sur-taschereau-un-homme-de-22-ans-perd-la-vie/,2021-07-17 16:00:11,local
Montréal_V2,accident,3,ICI.Radio-Canada.ca,Un accident mène à une arrestation pour alcool au volant,2021-07-16,1,https://ici.radio-canada.ca/nouvelle/1809488/accident-conduite-dangereuse-alcool-volant-quatre-bourgeois-quebec,2021-07-17 16:00:11,local
Montréal_V2,accident,4,Le Journal de Québec,"[IMAGES] Accident à Lévis : 3 blessés, dont un blessé grave",2021-07-15,2,https://www.journaldequebec.com/2021/07/15/accident-a-levis--3-blesses-dont-un-blesse-grave,2021-07-17 16:00:11,local
Montréal_V2,accident,5,ICI.Radio-Canada.ca,Un accident fait un mort sur la route 391 à Saint-Eugène-de-Guigues,2021-07-15,2,https://ici.radio-canada.ca/nouvelle/1809198/accident-mortel-391-st-eugene-guigues,2021-07-17 16:00:12,local
Montréal_V2,accident,6,La Presse,Accident de travail mortel pour un septuagénaire à Waterloo,2021-07-13,4,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-07-12/accident-de-travail-mortel-pour-un-septuagenaire-a-waterloo.php,2021-07-17 16:00:12,local
Montréal_V2,accident,7,La Tribune - Groupe Capitales Médias,Accident mortel sur la 10 | Actualités,2021-07-15,2,https://www.latribune.ca/actualites/accident-mortel-sur-la-10-36841f9a12caccee6ac1b7ec330c819d,2021-07-17 16:00:12,local
Montréal_V2,accident,8,Le Journal de Montréal,Accident nautique: sa conjointe l'a vu sombrer dans le fleuve,2021-07-11,6,https://www.journaldemontreal.com/2021/07/11/accident-nautique-sa-conjointe-la-vu-sombrer-dans-le-fleuve-1,2021-07-17 16:00:12,local
Montréal_V2,accident,9,Le Journal de Québec,Gaspésie: un accident de la route fait un mort et un blessé,2021-07-14,3,https://www.journaldequebec.com/2021/07/13/gaspesie-un-accident-de-la-route-fait-deux-blesses-1,2021-07-17 16:00:13,local
Montréal_V2,accident,10,La Tribune - Groupe Capitales Médias,Accident frontal : trois personnes blessées | Justice et faits divers | Actualités,2021-07-15,2,https://www.latribune.ca/actualites/justice-et-faits-divers/accident-frontal--le-boulevard-saint-francois-ferme-e023cfd7f7834a87d23865c6339ebf3b,2021-07-17 16:00:13,local
